Date,AAPL,MSFT,AMZN,GOOGL,FB,V,WMT,JNJ,PG,JPM,UNH,MA,NVDA,HD,VZ,DIS,BAC,KO,CRM,CMCSA,ADBE,PFE,NFLX,T,MRK,NKE,ABT,PEP,TMO,INTC,ABBV,CSCO,ORCL,COST,DHR,QCOM,CVX,TMUS,MCD,XOM,ACN,NEE,MDT,AVGO,BMY,TXN,UPS,HON,AMGN,UNP,LLY,LIN,CHTR,LOW,PM,SBUX,AMT,BA,LMT,IBM,MS,C,BLK,RTX,WFC,MMM,NOW,AMD,INTU,CAT,CVS,AXP,EL,FIS,ISRG,SYK,SCHW,BKNG,ANTM,MDLZ,SPGI,TGT,GE,CI,DE,ZTS,PLD,GILD,GS,MO,ADP,CL,CCI,FISV,FDX,TJX,BDX,DUK,D,CSX,SPX
1/2/15,24.69635201,41.647892,308.519989,529.5499878,78.44999695,63.47579575,74.43817902,89.31684113,75.38273621,52.89167404,91.98325348,82.40628052,19.38051414,90.74297333,35.85535049,87.37626648,16.12682915,34.88928986,59.24000168,25.59123421,72.33999634,25.1391716,49.84857178,24.13555717,47.99616623,43.93678665,39.86105347,79.76753998,125.6175613,30.8580513,50.40806198,22.96480942,40.29297638,123.7885895,42.75959778,60.7747879,88.11108398,26.79232407,79.68884277,70.86282349,78.90406799,21.48578644,63.50376129,84.7565155,50.77413177,45.59706116,91.4659729,84.21604919,136.289856,104.1228409,60.1726265,114.3522949,166.4299927,60.84199524,60.00388718,36.55179596,89.09989166,112.7860107,165.9452057,124.0836945,33.68341446,48.31352997,307.3261108,62.54891205,45.06079102,139.397049,67.37999725,2.670000076,86.04961395,75.25395966,81.84359741,84.53015137,70.52710724,57.9189682,175.1900024,87.38625336,28.03922462,1142.060059,115.2848129,32.86408234,83.13349152,62.7822876,20.74505997,102.6698532,77.78564453,41.57793427,36.31746292,80.79851532,177.056488,36.31453705,73.12395477,60.06832123,64.10389709,35.31000137,162.0198669,30.4374485,128.6564484,64.12028503,60.90520096,32.39157867,2058.199951
1/5/15,24.00061417,41.26490784,302.1900024,519.460022,77.19000244,62.07464981,74.22153473,88.69303894,75.02431488,51.24966431,90.46817017,80.08835602,19.05317497,88.83914185,35.55757904,86.09940338,15.65834045,34.88928986,58.16999817,25.06932831,71.98000336,25.00276756,47.31142807,23.90753365,48.70951462,43.22939301,39.86992645,79.16782379,123.8919525,30.51009178,49.45940781,22.50734329,39.72790527,122.3811874,42.33559036,60.48841476,84.58914948,26.42920494,78.80871582,68.92390442,77.57182312,21.25822449,63.23873901,83.40163422,49.9806633,44.88939285,89.63465881,82.61122131,134.6702728,100.602623,59.58001328,111.333992,160.5,59.3861084,59.55213547,35.85163116,87.81261444,112.0048752,162.4942627,122.1312332,32.6305275,46.79093933,299.3742981,61.50500107,43.82511902,136.2532806,67.15000153,2.660000086,85.7099762,71.28159332,81.03461456,82.29466248,69.67807007,56.91668701,171.456665,86.03813171,27.102108,1097.579956,113.2632141,32.3727684,81.66133118,61.65715027,20.36426353,100.9025955,76.12143707,41.32833099,36.29237747,82.39898682,171.5282898,36.10689926,73.07129669,59.62458038,63.69272614,34.90999985,159.5301666,30.09707069,129.447525,63.1971817,60.16638565,31.5151577,2020.579956
1/6/15,24.00287628,40.65924454,295.2900085,506.6400146,76.15000153,61.67465591,74.79345703,88.25720978,74.68257141,49.92080688,90.28560638,79.91524506,18.47551346,88.56719208,35.91642761,85.64270782,15.18985367,35.15423965,57.20000076,24.74229431,70.52999878,25.21138763,46.5014267,23.94316292,50.62298584,42.97509766,39.41717148,78.56813812,122.7349854,29.94147682,49.21460342,22.49901962,39.31778336,123.9983139,42.04626846,59.62931061,84.55000305,26.37032127,78.95400238,68.55747223,77.01226807,21.34078598,62.92066574,81.504776,49.89533615,44.14762878,89.04632568,82.41795349,130.331604,98.52209473,59.88062668,109.9084396,156.3099976,59.5209198,60.06314087,35.55990601,87.58017731,110.6856384,161.7302551,119.4973526,31.69076729,45.14368057,294.7221985,60.63506317,42.91072464,134.800354,66.33000183,2.630000114,83.07785034,70.82292938,81.09485626,80.54080963,69.03427887,56.84244537,173.2633362,85.91726685,26.10932159,1079.959961,114.8070068,32.14944077,80.47986603,61.64880371,19.92551994,101.3019638,75.48747253,40.92512512,36.41780853,83.13111877,168.0583801,36.32194901,72.46550751,58.9981575,63.5717659,34.94499969,159.520752,29.94927025,129.1991882,64.23470306,59.85985565,30.25925446,2002.609985
1/7/15,24.33944702,41.17583084,298.4200134,505.1499939,76.15000153,62.50098419,76.7779007,90.20559692,75.07432556,49.99697876,91.20745087,81.15836334,18.42737389,91.60276031,35.68466568,86.51881409,15.26192951,35.59304428,56.93000031,24.71990013,71.11000061,25.55641556,46.74285889,23.97206879,51.70560455,43.86280441,39.73677063,80.86553192,126.4117203,30.56949615,51.20369339,22.70696259,39.32688904,126.157547,42.30066681,60.3247757,84.47957611,27.72465897,80.32968903,69.25213623,78.6287384,21.53613281,64.49325562,83.7064743,50.54376984,44.94054413,89.87497711,83.01450348,134.8834076,99.06638336,59.45976639,111.1404114,156.7899933,61.29133987,60.51491165,36.43510437,88.50095367,112.4041061,163.8162689,118.7163544,32.14325714,45.56216812,300.9595032,61.29294968,43.16609192,135.7774658,67.08999634,2.579999924,83.89150238,71.92042542,82.55789185,82.29985046,69.35152435,57.77975464,174.2133331,87.54431152,26.61963081,1069.569946,115.3766937,33.15885544,81.5488205,63.98241806,19.93380165,103.6782608,75.1616745,41.76993179,36.96972275,84.68903351,170.5628815,36.98936844,73.09761047,59.46797943,64.90206146,35.41999817,160.6951599,30.56286049,132.225647,64.44070435,60.10351181,30.65680695,2025.900024
1/8/15,25.27462387,42.387146,300.4599915,506.9100037,78.18000031,63.33929062,78.39838409,90.9148407,75.93283844,51.11424255,95.56110382,82.42074585,19.12056351,93.62940216,36.44949341,87.41353607,15.57725906,36.0235672,58.59000015,25.25747871,72.91999817,26.07797623,47.77999878,24.21056366,52.7462616,44.87534714,40.5535202,82.3352356,127.7256165,31.13811684,51.73921585,22.88162994,39.5638504,127.2414474,42.95414734,60.96296692,86.41273499,28.48033905,80.62876129,70.40480042,79.82775116,21.66703606,66.03931427,87.88969421,51.80651093,45.67378235,91.49082947,84.52693939,134.3975067,102.7797165,60.86831284,112.9707489,162.9400024,62.58548355,61.42585754,37.02305222,89.32337189,114.3916702,167.5075684,121.2966309,32.62182617,46.24778366,304.4744568,62.33686829,44.12168121,139.0316925,68.88999939,2.609999895,85.01735687,72.65757751,84.31352997,83.46643829,70.34985352,58.59644318,177.6666718,89.03189087,27.3155098,1082.849976,120.8808823,33.57870102,82.28018951,64.28243256,20.17386627,108.9600296,76.15665436,42.41313553,36.97808075,87.08976746,173.2860107,37.61228943,74.77449799,60.27713776,65.92597961,36.13999939,164.4532471,30.72409439,134.6357574,64.70008087,60.81088638,31.14471626,2062.139893
1/9/15,25.30173111,42.03087616,296.9299927,500.7200012,77.73999786,62.400383,77.42782593,89.67576599,75.22437286,50.22550583,94.66663361,81.37034607,19.19758987,92.02388763,36.12501907,87.84225464,15.29796696,35.62615585,58.15999985,25.21716118,71.83999634,26.19833565,47.04142761,24.1382885,52.50288391,44.38063049,40.127388,81.777771,127.2157135,31.19752312,50.32390594,23.11451912,39.54563141,125.2834091,42.66482162,60.88934326,84.69087219,28.70606232,79.64610291,70.30557251,79.73894501,21.47571945,65.73011017,88.82962799,51.46522903,45.69935226,90.81961823,83.12374878,132.7438812,100.9362183,60.06096649,111.4484024,161.9799957,61.40817261,61.26290894,35.81123734,88.86746979,114.1659851,167.4131165,121.8249512,32.09104538,45.21492004,300.8647156,61.99435043,43.39674759,137.3238983,67.11000061,2.630000114,83.22922516,71.78939056,84.27050781,82.40922546,69.88334656,58.40155411,173.6233368,87.95341492,26.39695358,1051.959961,119.2728195,33.24819183,81.5769577,63.69906616,19.89241219,107.8318024,75.41703033,42.48033524,36.91954041,87.01315308,170.6266785,37.52328873,74.23892975,59.68550491,65.80504608,36.03499985,162.2171631,30.34339905,133.044342,64.79161835,60.12708664,31.08145905,2044.810059
1/12/15,24.67827988,41.50537872,291.4100037,497.0599976,76.72000122,62.27822876,78.00839996,89.3681488,74.94930267,49.79384613,93.59877014,80.32964325,18.95689392,91.61154175,36.37224197,88.03798676,15.02768421,35.3032608,57.72999954,25.16339874,71.12000275,26.29462051,45.54714203,24.20333481,52.28468704,44.32051849,40.46473312,81.43989563,125.9901123,31.06172371,50.30860519,23.33077049,39.43626404,124.584053,42.13605499,60.19387817,82.86729431,28.72569084,79.47522736,68.95443726,79.49913788,21.42134094,65.79193878,87.35620117,53.05218506,45.29011917,90.85277557,82.72044373,133.1615143,100.0495834,59.62295151,111.2020035,163.8500061,60.9767952,61.50733185,36.00872421,88.483078,113.5844727,166.940979,119.7806473,31.64726448,44.85874939,298.8833008,62.22813416,42.87776184,136.5762024,68.19000244,2.630000114,82.04656982,71.16692352,83.65085602,81.57071686,69.28622437,58.21595001,175.1699982,87.41414642,26.13715935,1039.97998,118.3814774,32.93553162,80.41424561,63.86573792,19.85102081,106.0146255,75.24090576,41.68353653,37.2958374,86.16181946,168.5501556,37.76059723,73.87898254,59.38967514,65.72442627,35.98500061,162.1326294,30.18664169,132.0600433,64.85266876,60.12708664,30.63873291,2028.26001
1/13/15,24.89739227,41.29161453,294.7399902,501.7999878,76.44999695,62.46025848,77.39316559,89.5219574,75.26603699,49.80230331,94.07336426,80.51271057,18.92801285,91.00618744,36.44949341,88.7183609,14.82046604,35.29499435,57.97000122,25.46354866,70.58999634,26.02982903,46.25571442,24.20333481,52.19236755,43.9275322,39.81324005,81.38078308,125.8332596,30.97687149,48.85954285,23.37236786,39.12638092,123.3340607,42.07619476,59.70294952,81.55244446,28.92197037,79.32139587,68.70251465,79.78333282,21.50592804,64.30771637,86.86503601,53.85419464,45.00875092,91.24222565,83.30861664,132.2409668,98.17097473,59.5885849,110.4364319,164.3999939,60.98577499,61.54434967,36.29597092,87.49973297,113.844841,166.8379669,120.0639267,31.35141563,44.53820038,299.7878418,62.16833878,42.71301651,136.4742126,67.26999664,2.660000086,81.65867615,70.7410202,83.6852951,81.32463837,69.52879333,58.34587097,173.886673,87.60009003,26.15571213,1037.819946,119.7139053,32.72114563,85.2244873,63.29899216,19.75168419,106.6636124,75.62837219,41.09792328,36.55160522,82.75656891,168.4226532,38.05722046,73.72974396,59.79860306,65.57123566,36.11000061,161.1272736,30.07915115,130.3674469,65.20358276,60.07992554,30.31346321,2023.030029
1/14/15,24.80251884,40.93534851,293.269989,505.9299927,76.27999878,61.20999908,75.05342102,88.87249756,75.00763702,48.0841217,94.31066895,80.42598724,19.00503349,90.04988098,36.28726578,87.82362366,14.45108414,35.2370224,57.25,25.00660515,69.98999786,26.0619297,46.31999969,24.0877037,52.57002258,43.32647705,39.51871109,81.65106964,123.735054,30.84955978,49.09848022,23.22264671,39.24487686,121.7780151,41.41276169,59.08931732,81.31765747,29.02011108,78.2191391,68.50404358,78.8507843,21.63883972,63.40660095,87.55096436,53.70915604,44.94054413,90.62903595,82.92208099,132.2580261,97.75837708,59.91496658,109.6356506,158.1300049,60.56339264,61.78134155,36.09400177,86.94549561,113.1592026,165.8765411,119.2906189,30.63789749,43.67451096,297.8667297,61.72250366,42.21875,135.8114624,66.33999634,2.630000114,81.58297729,70.49530792,83.76274872,79.35598755,69.15557861,57.74265289,178.4533386,86.69824982,25.26499557,1035.670044,121.1198044,32.64969635,83.35851288,61.94884491,19.68545723,107.2726746,76.1478653,41.30912781,36.55996323,84.50177765,164.1421967,38.36126328,73.51903534,59.55499268,65.82922363,35.89500046,162.3017426,29.66262627,129.530304,65.37139893,60.08778,30.40381432,2011.27002
1/15/15,24.12936783,40.50783539,286.9500122,504.0100098,74.05000305,60.62798691,75.72066498,87.58215332,74.89927673,46.54366302,95.34202576,79.25996399,18.87025261,88.61982727,36.3876915,87.93545532,13.69429207,35.08800125,55.11000061,25.08724594,70.29000092,25.99773598,46.2514267,24.03711319,51.9322052,42.9103775,39.22418976,81.65106964,121.7054901,30.71377373,48.47415161,22.79845238,38.85297012,121.7780151,40.91891861,58.40205002,80.35499573,28.63736343,78.08241272,67.90862274,78.30899811,21.55626678,63.52141953,85.79808807,52.58292389,44.66771317,90.56275177,81.59455109,129.4962463,97.26676941,59.897789,109.5300751,160.4900055,59.62875748,61.33698654,35.71699905,86.0694046,112.9509048,165.1382751,118.3488541,30.08970261,42.05396271,295.0237427,61.72250366,41.78214645,135.6585388,63.63000107,2.519999981,80.49495697,69.62822723,83.62505341,78.27140808,68.77303314,57.81688309,174.793335,85.07121277,24.74539948,998.25,123.2148972,32.64076614,82.7865448,63.0656395,19.51989365,106.6935654,76.78182983,41.22272491,36.60177994,82.91830444,162.5575256,38.91002655,73.48391724,59.44188309,65.81311798,35.86000061,163.3351746,29.23714828,129.4015503,66.18770599,60.65369415,30.81943703,1992.670044
