,BTC,ETH,XRP,LINK,LTC,BCH,ADA,BNB,EOS,XLM,XMR,TRX,NEO,XEM,MIOTA,DASH,WAVES,ZEC,ETC,OMG,DOGE,BAT,ZRX,DGB,DCR,QTUM,ICX,LRC,KNC,BTG,REP,LSK,ANT,SC,NANO,ZEN,SNT,BNT,GNT,MONA,RLC,XVG,MAID,GNO,STORJ,BTS,STEEM,KMD,CVC,ARDR,MCO,ARK,SYS,HC,XZC,AE,ADX,KIN,MLN,DNT,FUN,BCN,MTL,SALT,PIVX,GBYTE,DGD,GAS,PPT,NXS,CCI30,BITX,BITW20,BITW70,BITW100,US Stocks,US Real Estate,World Stocks,Bonds,Broad Commodities,Gold
2017-01-01,998.3250122070312,8.17257022857666,0.0063680000603199005,0.18916499614715576,4.511590003967285,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.002481000032275915,13.972800254821777,0.001988000003620982,0.14184099435806274,0.00343999988399446,0.5902550220489502,11.22920036315918,0.22132200002670288,48.47100067138672,1.3975000381469727,0.5824800133705139,0.0002280000044265762,0.1710360050201416,0.22439900040626526,0.00026000000070780516,0.49000000953674316,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,3.999530076980591,0.1502469927072525,1.5243799686431885,0.0002300000051036477,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.009867999702692032,0.023514000698924065,0.2835550010204315,2.2000000171829015e-05,0.09692099690437317,74.83999633789062,0.5484700202941895,0.004048999864608049,0.16116100549697876,0.11098700016736984,0.17671999335289001,0.010172000154852867,2.4700400829315186,0.03427499905228615,0.008940000087022781,20.369400024414062,0.4827220141887665,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,5.8000001445179805e-05,1.6741100549697876,4.341519832611084,0.007050999905914068,20.964799880981445,9.039589881896973,1.7199900150299072,3.3337700366973877,0.027439000084996223,315.744,964.0,964.0,964.0,964.0,107.92051696777344,70.29350280761719,32.76396179199219,72.03693389892578,15.205747604370117,110.47000122070312
2017-01-02,1021.75,8.378510475158691,0.006310999859124422,0.18916499614715576,4.648940086364746,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.0024770000018179417,16.051599502563477,0.001988000003620982,0.1456419974565506,0.0033770001027733088,0.5902550220489502,11.807900428771973,0.23267899453639984,49.785499572753906,1.4374500513076782,0.5824800133705139,0.00022600000374950469,0.1710360050201416,0.22439900040626526,0.0002570000069681555,0.4722819924354553,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,4.191050052642822,0.1580909937620163,1.5243799686431885,0.00023799999326001853,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.009863000363111496,0.0232900008559227,0.2835550010204315,2.099999983329326e-05,0.09351500123739243,74.83999633789062,0.5484700202941895,0.004050999879837036,0.15403899550437927,0.11098700016736984,0.17671999335289001,0.010537000373005867,2.4700400829315186,0.03427499905228615,0.008747000247240067,20.369400024414062,0.48254498839378357,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,5.900000178371556e-05,1.6741100549697876,4.341519832611084,0.006450999993830919,20.945899963378906,8.713850021362305,1.7199900150299072,3.3337700366973877,0.032646000385284424,323.07,995.54,978.53,1003.46,996.0,107.92051696777344,70.29350280761719,32.76396179199219,72.03693389892578,15.205747604370117,110.47000122070312
2017-01-03,1043.8399658203125,9.725250244140625,0.006386000197380781,0.18916499614715576,4.626200199127197,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.002553999889642,16.092899322509766,0.001988000003620982,0.1404220014810562,0.0035729999653995037,0.5902550220489502,12.781700134277344,0.23993000388145447,50.04460144042969,1.4925199747085571,0.5824800133705139,0.00022699999681208283,0.1710360050201416,0.22439900040626526,0.00028700000257231295,0.46140798926353455,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,4.2687201499938965,0.15903300046920776,1.5243799686431885,0.0002530000056140125,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.010772000066936016,0.024142999202013016,0.2835550010204315,2.099999983329326e-05,0.09913499653339386,74.83999633789062,0.5484700202941895,0.004153999965637922,0.15803299844264984,0.11098700016736984,0.17671999335289001,0.01042999979108572,2.4700400829315186,0.03427499905228615,0.009037000127136707,20.369400024414062,0.5990750193595886,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,5.400000009103678e-05,1.6741100549697876,4.341519832611084,0.0074280002154409885,26.09600067138672,8.70143985748291,1.7199900150299072,3.3337700366973877,0.03420199826359749,334.754,1019.78,985.83,997.34,1019.82,107.92051696777344,70.29350280761719,32.76396179199219,72.03693389892578,15.205747604370117,110.47000122070312
2017-01-04,1154.72998046875,11.25160026550293,0.006570000201463699,0.18916499614715576,4.837850093841553,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.002735000103712082,18.527099609375,0.001988000003620982,0.1367339938879013,0.003766000038012862,0.5902550220489502,16.524200439453125,0.24131199717521667,57.029998779296875,1.7642199993133545,0.5824800133705139,0.00023600000713486224,0.1710360050201416,0.22439900040626526,0.00028899998869746923,0.6569560170173645,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,4.941050052642822,0.17275699973106384,1.5243799686431885,0.0002849999873433262,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.012581000104546547,0.027236999943852425,0.2835550010204315,2.300000051036477e-05,0.11023899912834167,74.83999633789062,0.5484700202941895,0.004437999799847603,0.17629699409008026,0.11098700016736984,0.17671999335289001,0.011881000362336636,2.4700400829315186,0.03427499905228615,0.009151999838650227,20.369400024414062,0.6069880127906799,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,5.999999848427251e-05,1.6741100549697876,4.341519832611084,0.008082999847829342,25.40410041809082,9.747389793395996,1.7199900150299072,3.3337700366973877,0.03771999850869179,371.64599999999996,1046.8,1003.79,1033.46,1047.76,108.74708557128906,71.32073974609375,33.1649284362793,72.09042358398438,15.322340965270996,110.86000061035156
2017-01-05,1013.3800048828125,10.254400253295898,0.006200999952852726,0.18916499614715576,4.292719841003418,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.002597999991849065,16.187599182128906,0.001988000003620982,0.13107000291347504,0.0036379999946802855,0.5902550220489502,14.378199577331543,0.23308700323104858,49.83639907836914,1.6055699586868286,0.5824800133705139,0.00022899999748915434,0.1710360050201416,0.22439900040626526,0.00028199999360367656,0.5514820218086243,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,5.102950096130371,0.1575540006160736,1.5243799686431885,0.0002840000088326633,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.010820000432431698,0.024584000930190086,0.2835550010204315,1.9999999494757503e-05,0.10226999968290329,74.83999633789062,0.5484700202941895,0.004089000169187784,0.15932899713516235,0.11098700016736984,0.17671999335289001,0.010955000296235085,2.4700400829315186,0.03427499905228615,0.008217000402510166,20.369400024414062,0.49263298511505127,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,5.2999999752501026e-05,1.6741100549697876,4.341519832611084,0.007521999999880791,19.254199981689453,9.133049964904785,1.7199900150299072,3.3337700366973877,0.040403999388217926,334.115,1163.73,1110.15,1139.28,1163.81,108.53347778320312,71.54995727539062,33.458988189697266,72.45597076416016,15.400071144104004,112.58000183105469
2017-01-06,902.2009887695312,10.25469970703125,0.0063149998895823956,0.18916499614715576,3.861259937286377,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.0024939998984336853,14.029999732971191,0.001988000003620982,0.13547199964523315,0.0033289999701082706,0.5902550220489502,12.032299995422363,0.20912599563598633,47.4552001953125,1.505679965019226,0.5824800133705139,0.00022000000171829015,0.1710360050201416,0.22439900040626526,0.00033400001120753586,0.5481489896774292,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,5.108650207519531,0.14130200445652008,1.5243799686431885,0.00025599999935366213,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.011370000429451466,0.023446999490261078,0.2835550010204315,2.2000000171829015e-05,0.09306599944829941,74.83999633789062,0.5484700202941895,0.003662999952211976,0.15640200674533844,0.11098700016736984,0.17671999335289001,0.0100509999319911,2.4700400829315186,0.03427499905228615,0.008071999996900558,20.369400024414062,0.45165300369262695,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,5.2999999752501026e-05,1.6741100549697876,4.341519832611084,0.009015999734401703,16.871200561523438,8.445229530334473,1.7199900150299072,3.3337700366973877,0.044961001724004745,308.409,1023.44,1010.23,1003.22,1025.04,108.87710571289062,71.5584487915039,33.32532501220703,72.17066192626953,15.380638122558594,111.75
2017-01-07,908.5850219726562,9.86719036102295,0.006366000045090914,0.18916499614715576,3.9558799266815186,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.0023960000835359097,13.063199996948242,0.001988000003620982,0.1311040073633194,0.003507999936118722,0.5902550220489502,12.439299583435059,0.21758000552654266,47.379798889160156,1.440060019493103,0.5824800133705139,0.0002209999947808683,0.1710360050201416,0.22439900040626526,0.00032900000223889947,0.67296302318573,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,4.685029983520508,0.14555899798870087,1.5243799686431885,0.0002880000101868063,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.011913999915122986,0.023612000048160553,0.2835550010204315,1.8000000636675395e-05,0.09203899651765823,74.83999633789062,0.5484700202941895,0.0036780000664293766,0.15379999577999115,0.11098700016736984,0.17671999335289001,0.011258999817073345,2.4700400829315186,0.03427499905228615,0.00813599955290556,20.369400024414062,0.42647600173950195,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,5.400000009103678e-05,1.6741100549697876,4.341519832611084,0.007703999988734722,22.71430015563965,8.93655014038086,1.7199900150299072,3.3337700366973877,0.04532099887728691,307.73,920.34,937.8,971.82,921.47,108.87710571289062,71.5584487915039,33.32532501220703,72.17066192626953,15.380638122558594,111.75
2017-01-08,911.198974609375,10.289799690246582,0.006233000196516514,0.18916499614715576,3.994580030441284,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.002355000004172325,13.471799850463867,0.001988000003620982,0.13260899484157562,0.0034209999721497297,0.5902550220489502,12.54069995880127,0.21354100108146667,46.11000061035156,1.447700023651123,0.5824800133705139,0.0002209999947808683,0.1710360050201416,0.22439900040626526,0.0003549999964889139,0.8232979774475098,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,4.559370040893555,0.15773700177669525,1.5243799686431885,0.00035099999513477087,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.011160999536514282,0.02354400046169758,0.2835550010204315,1.8000000636675395e-05,0.09385299682617188,74.83999633789062,0.5484700202941895,0.0036989999935030937,0.15252000093460083,0.11098700016736984,0.17671999335289001,0.011129000224173069,2.4700400829315186,0.03427499905228615,0.008515999652445316,20.369400024414062,0.4090139865875244,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,4.999999873689376e-05,1.6741100549697876,4.341519832611084,0.008310999721288681,24.602399826049805,8.934650421142578,1.7199900150299072,3.3337700366973877,0.045471999794244766,309.316,921.79,945.9,1014.8,922.96,108.87710571289062,71.5584487915039,33.32532501220703,72.17066192626953,15.380638122558594,111.75
2017-01-09,902.8280029296875,10.325599670410156,0.006167000159621239,0.18916499614715576,4.301959991455078,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.002346999943256378,13.736100196838379,0.001988000003620982,0.12376700341701508,0.003607999999076128,0.5902550220489502,12.092499732971191,0.2184319943189621,46.09830093383789,1.4097800254821777,0.5824800133705139,0.00022899999748915434,0.1710360050201416,0.22439900040626526,0.000299000006634742,0.8148260116577148,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,4.216040134429932,0.14926600456237793,1.5243799686431885,0.0003349999897181988,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.012502999976277351,0.023833999410271645,0.2835550010204315,1.8000000636675395e-05,0.09453699737787247,74.83999633789062,0.5484700202941895,0.0037479999009519815,0.147024005651474,0.11098700016736984,0.17671999335289001,0.01190400030463934,2.4700400829315186,0.03427499905228615,0.009213999845087528,20.369400024414062,0.4345879852771759,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,4.600000102072954e-05,1.6741100549697876,4.341519832611084,0.009154999628663063,24.375499725341797,10.352399826049805,1.7199900150299072,3.3337700366973877,0.045591000467538834,308.995,927.93,948.33,1046.98,929.99,108.45917510986328,70.91323852539062,33.24513244628906,72.34896850585938,15.14745044708252,112.66999816894531
2017-01-10,907.6790161132812,10.549599647521973,0.006697999779134989,0.18916499614715576,4.591509819030762,413.05999755859375,0.02496900036931038,0.10587000101804733,1.0066900253295898,0.002355000004172325,13.391300201416016,0.001988000003620982,0.13386400043964386,0.0036009999457746744,0.5902550220489502,12.48550033569336,0.22485800087451935,45.66019821166992,1.4341599941253662,0.5824800133705139,0.00022600000374950469,0.1710360050201416,0.22439900040626526,0.00027099999715574086,0.7034559845924377,6.190529823303223,0.49705201387405396,0.10480999946594238,1.8465700149536133,500.1260070800781,4.209169864654541,0.14906199276447296,1.5243799686431885,0.00031599999056197703,0.008674999698996544,11.33489990234375,0.05615000054240227,19.983999252319336,0.01450399961322546,0.02351599931716919,0.2835550010204315,1.8000000636675395e-05,0.09439200162887573,74.83999633789062,0.5484700202941895,0.003826000029221177,0.1500149965286255,0.11098700016736984,0.17671999335289001,0.011401999741792679,2.4700400829315186,0.03427499905228615,0.00911100022494793,20.369400024414062,0.4762290120124817,0.695589005947113,0.26090601086616516,0.00011600000289035961,40.08259963989258,0.01559200044721365,0.013975000008940697,4.8000001697801054e-05,1.6741100549697876,4.341519832611084,0.008585000410676003,23.40719985961914,9.756799697875977,1.7199900150299072,3.3337700366973877,0.05112199857831001,313.733,919.19,947.1,1062.01,921.25,108.54277801513672,70.31047058105469,33.28076934814453,72.33113098144531,15.079439163208008,113.1500015258789
