Date,BTC,ETH,LTC,XRP,XMR,XLM,DASH,CCI30
2015-01-01,314.2489929199219,2.7721199989318848,2.699049949645996,0.024390099570155144,0.4657599925994873,0.005493449978530407,1.9433300495147705,100.0
2015-01-02,315.0320129394531,2.7721199989318848,2.6673600673675537,0.024318499490618702,0.4591369926929474,0.0054813800379633895,1.9406700134277344,100.21799999999999
2015-01-03,281.08200073242193,2.7721199989318848,2.13316011428833,0.02210590057075024,0.4611720144748688,0.004671699833124876,1.722309947013855,89.3769
2015-01-04,264.19500732421875,2.7721199989318848,1.9566800594329836,0.01892790012061596,0.41723400354385376,0.004416239913553,1.6277899742126465,82.2132
2015-01-05,274.4739990234375,2.7721199989318848,2.08218002319336,0.020315999165177345,0.4214119911193848,0.004947470035403967,1.6730099916458132,86.2289
2015-01-06,286.1889953613281,2.7721199989318848,2.1121199131011963,0.020732099190354347,0.4616090059280396,0.004972150083631277,1.7162799835205078,89.6425
2015-01-07,294.3370056152344,2.7721199989318848,2.1181800365448002,0.02084329910576344,0.4636070132255554,0.005283840000629425,1.71766996383667,93.64200000000001
2015-01-08,283.3489990234375,2.7721199989318848,2.0080699920654297,0.02067600004374981,0.4291749894618988,0.005566589999943972,1.7152700424194336,88.7782
2015-01-09,290.4079895019531,2.7721199989318848,1.9833600521087649,0.020576000213623047,0.4318009912967682,0.005622180178761482,1.7080199718475342,92.3118
2015-01-10,274.79598999023443,2.7721199989318848,1.6533199548721311,0.01923329941928387,0.4192160069942473,0.005180180072784424,1.6587200164794922,83.90100000000001
2015-01-11,265.66000366210943,2.7721199989318848,1.724560022354126,0.01876509934663773,0.3787479996681213,0.005062010139226914,1.6371599435806274,81.5489
2015-01-12,267.79598999023443,2.7721199989318848,1.714229941368103,0.018434399738907814,0.3643159866333008,0.004903370048850775,1.6611100435256958,81.62899999999999
2015-01-13,225.86099243164062,2.7721199989318848,1.5411200523376465,0.015647999942302704,0.3094789981842041,0.004053299780935049,1.3483400344848633,70.039
2015-01-14,178.10299682617188,2.7721199989318848,1.1570099592208862,0.014232500456273556,0.22352199256420133,0.004317999817430973,1.0830700397491455,57.7205
2015-01-15,209.843994140625,2.7721199989318848,1.282770037651062,0.016444200649857518,0.2617140114307404,0.0050126397982239715,1.2890000343322754,67.4344
2015-01-16,208.0970001220703,2.7721199989318848,1.402269959449768,0.01640300080180168,0.2784489989280701,0.004457930102944374,1.2755999565124512,66.7011
2015-01-17,199.25999450683597,2.7721199989318848,1.2934099435806274,0.015361400321125984,0.24805699288845065,0.0046170600689947605,1.2184100151062012,63.1233
2015-01-18,210.3390045166016,2.7721199989318848,1.3333300352096558,0.015622200444340706,0.2586559951305389,0.0047389701940119275,1.3107500076293943,66.1834
2015-01-19,214.86099243164062,2.7721199989318848,1.3417799472808838,0.01599070057272911,0.25418099761009216,0.004828520119190215,1.3656599521636963,67.1327
2015-01-20,211.31500244140625,2.7721199989318848,1.32354998588562,0.016111999750137333,0.2362229973077774,0.004743429832160473,1.428730010986328,66.6193
2015-01-21,226.8970031738281,2.7721199989318848,1.3733099699020386,0.016652999445796013,0.2612679898738861,0.005053730215877295,1.5956799983978271,71.0714
2015-01-22,233.406005859375,2.7721199989318848,1.4187500476837158,0.017009900882840157,0.2734420001506805,0.0049141100607812405,1.628100037574768,72.6261
2015-01-23,232.8789978027344,2.7721199989318848,1.4259500503540041,0.01673370040953159,0.2831409871578217,0.004881360102444886,1.5915700197219849,72.2905
2015-01-24,247.8470001220703,2.7721199989318848,1.8437999486923216,0.016735799610614777,0.2983689904212952,0.005038139875978231,1.73649001121521,77.3604
2015-01-25,253.71800231933597,2.7721199989318848,2.248300075531006,0.016578299924731255,0.3102270066738129,0.004790349863469601,1.8062599897384644,79.61
2015-01-26,273.47299194335943,2.7721199989318848,2.0810499191284184,0.01601880043745041,0.31707799434661865,0.004709209781140089,1.8788199424743648,81.3947
2015-01-27,263.47500610351557,2.7721199989318848,2.0860800743103027,0.015840500593185425,0.32037100195884705,0.004816109780222178,1.8221700191497805,79.307
2015-01-28,233.9149932861328,2.7721199989318848,1.8720200061798096,0.014970200136303903,0.2909789979457855,0.00489488011226058,1.6453200578689575,71.6392
2015-01-29,233.51300048828125,2.7721199989318848,1.9156700372695925,0.014705800451338291,0.3099110126495361,0.004555560182780027,1.642549991607666,71.1597
2015-01-30,226.4250030517578,2.7721199989318848,1.897629976272583,0.014442999847233297,0.2940180003643036,0.004462420009076595,1.640169978141785,69.1876
2015-01-31,217.4640045166016,2.7721199989318848,1.8734999895095823,0.014298000372946262,0.2843630015850067,0.0043335999362170705,1.6120500564575195,67.3085
2015-02-01,226.9720001220703,2.7721199989318848,1.80351996421814,0.01413859985768795,0.29995399713516235,0.004142160061746836,1.8835599422454836,69.1335
2015-02-02,238.22900390625,2.7721199989318848,1.8761800527572632,0.013670099899172785,0.30124199390411377,0.004179810173809528,1.932389974594116,71.0773
2015-02-03,227.26800537109372,2.7721199989318848,1.8217600584030151,0.013025199994444849,0.28873398900032043,0.00374963996000588,1.7871500253677368,67.6654
2015-02-04,226.85299682617188,2.7721199989318848,1.7923500537872314,0.013498200103640556,0.28948599100112915,0.0037646200507879257,1.826449990272522,68.2053
2015-02-05,217.11099243164062,2.7721199989318848,1.741230010986328,0.014466299675405025,0.2722730040550232,0.004001189954578877,1.7716200351715088,66.4892
2015-02-06,222.26600646972656,2.7721199989318848,1.75941002368927,0.01518530026078224,0.2707720100879669,0.003825400024652481,1.7948999404907229,68.0336
