Date,BTC,ETH,XRP,USDT,LINK,LTC,BCH,ADA,BNB,EOS,XLM,XMR,TRX,NEO,XEM,MIOTA,DASH,WAVES,ZEC,ETC,OMG,DOGE,BAT,ZRX,DGB,DCR,QTUM,ICX,LRC,KNC,BTG,REP,LSK,ANT,SC,NANO,ZEN,SNT,BNT,GNT,MONA,RLC,XVG,MAID,GNO,STORJ,BTS,STEEM,KMD,CVC,ARDR,MCO,ARK,SYS,HC,XZC,AE,ADX,KIN,MLN,DNT,FUN,BCN,MTL,SALT,PIVX,GBYTE,DGD,GAS,PPT,NXS,CCI30,BITX,BITW20,BITW70,BITW100,SPY,VTI,VNQ,VEA,VWO,FM,VTIP,BND,JNK,DBC,GLD,BIZD,UUP,CCI30
12/2/18,4139.87793,116.3889008,0.367627233,0.998371661,0.315657228,33.71315002,172.1134033,0.041671857,5.250416756,2.849377155,0.160301074,59.10102081,0.014935238,7.959300041,0.077903062,0.296327561,93.04189301,1.575929165,79.15739441,5.152367115,1.599189758,0.002245741,0.181796417,0.401834458,0.013231905,20.5977726,2.127519131,0.272681803,0.045472324,0.191803843,18.13929176,8.471646309,1.461730838,0.461269259,0.003050662,1.048371077,6.764901161,0.02018109,0.694907427,0.089656852,0.672471225,0.23184453,0.007838674,0.156906083,12.21176147,0.184668839,0.049519937,0.346985161,0.742586255,0.068485759,0.063373819,2.549437761,0.414946765,0.041723222,0.919637322,6.992103577,0.556319475,0.124941692,3.05E-05,6.949270725,0.012842554,0.005176862,0.000826726,0.325440466,0.248799533,0.752866924,30.63569069,18.47406387,2.521856785,1.746784091,0.287580132,2368.48,5250.11,6110.9,6848.85,5278.58,279.2999878,143,82.41999817,40.27999878,40.47999954,27.95999908,48.16999817,78.06999969,104.4300003,15.64000034,116.4100037,16.23999977,25.93000031,2368.48
12/3/18,3894.130859,108.9250183,0.348754406,0.996593833,0.288481742,31.07280159,159.8182526,0.038670998,5.109251499,2.593590498,0.14953576,54.83724594,0.013867605,7.354771137,0.074000739,0.274870098,84.82066345,1.475957394,70.79842377,4.513351917,1.460381269,0.002371316,0.166837379,0.375972599,0.011868766,19.26645851,1.939699411,0.248383313,0.042737547,0.175309762,17.06102753,7.849956989,1.343515873,0.431591451,0.002816875,0.975311577,6.06583786,0.018402679,0.657965124,0.091464162,0.630104601,0.211923197,0.007096861,0.137949124,12.11495972,0.164846003,0.046460047,0.320875168,0.693368018,0.062126122,0.058600377,2.361894131,0.399795443,0.039932195,0.860417068,6.427582264,0.530657828,0.109383076,2.95E-05,6.392878532,0.011888111,0.004652556,0.000777957,0.329866916,0.228831187,0.711391509,29.9839077,16.81343079,2.295122623,1.600811243,0.264803141,2217.22,4830.61,5521.57,6306.01,4852.36,279.2999878,143,82.41999817,40.27999878,40.47999954,27.95999908,48.16999817,78.06999969,104.4300003,15.64000034,116.4100037,16.23999977,25.93000031,2217.22
12/4/18,3956.893799,110.2141876,0.352231324,1.000030994,0.287811697,31.1861248,149.6589661,0.037699353,5.88079071,2.45541811,0.147653148,56.97896194,0.014412232,7.610254288,0.076882064,0.278357625,85.48542023,2.165596724,74.69121552,4.409520149,1.478692532,0.002195827,0.163748458,0.373906553,0.012199746,19.72221756,1.963927627,0.25534144,0.043625664,0.180277303,16.36577225,8.155341148,1.404022574,0.435284078,0.002889804,0.97878933,6.23263216,0.018697508,0.670165777,0.091362268,0.621149004,0.222046763,0.007186668,0.144614756,12.59455585,0.168910339,0.04731157,0.322106689,0.710646451,0.062066343,0.060649808,2.461340666,0.414205313,0.042105075,0.886298835,6.554184437,0.511694908,0.119251698,3.09E-05,6.523406506,0.012460414,0.00480089,0.000751054,0.326551557,0.253001004,0.75427103,31.86285591,17.02935791,2.31778717,1.691799998,0.278018177,2234.01,4846.85,5540.02,6538.27,4872.27,270.25,138.3300018,81.19999695,39.25999832,39.72999954,27.72999954,48.20000076,78.26000214,103.8899994,15.64999962,117.1200027,16,25.87999916,2234.01
12/5/18,3753.994873,102.4755554,0.338241994,0.992965817,0.256612569,29.29523849,130.5410461,0.034251295,5.984277725,2.195390701,0.135935962,51.66662598,0.013952091,6.997570992,0.076156899,0.258735448,77.90285492,1.836793423,66.42059326,4.029114723,1.36891675,0.002180246,0.148617789,0.35029152,0.010919237,18.81855202,1.842566252,0.232986584,0.045332767,0.163614199,15.2912569,7.43892622,1.335038662,0.485085815,0.002693195,0.921126783,5.619963646,0.017653912,0.613900065,0.083422154,0.561892569,0.200994655,0.006610814,0.140796244,12.14004803,0.152371168,0.043195024,0.292384207,0.641818106,0.060190395,0.060297642,2.32404685,0.372652858,0.037958473,0.816511333,5.986422062,0.441032588,0.110022373,2.81E-05,6.038039207,0.011652592,0.004534815,0.000701001,0.335171223,0.257971823,0.682955742,28.90889359,16.12575531,2.126623154,1.546157122,0.264470726,2095.14,4655.49,5287.09,6219.89,4677.35,269.8399963,138.1600037,83.20999908,38.88999939,39.40999985,27.93000031,48.15000153,78.40000153,103.4400024,15.52000046,117.1399994,15.85000038,25.87000084,2095.14
12/6/18,3521.101807,91.76105499,0.310936391,0.998296022,0.222731575,26.94366074,107.5927353,0.030797729,4.951686859,1.867985964,0.119594485,46.53453064,0.012816866,6.049024105,0.06951119,0.236633152,66.01954651,1.49364543,58.81145096,3.516686678,1.238279462,0.002097142,0.126409426,0.319183946,0.010263129,18.23989105,1.644590616,0.213858202,0.038780112,0.138221398,13.96347713,6.827134132,1.21973443,0.441242844,0.002436252,0.837274015,4.816833973,0.016028192,0.544686556,0.069334351,0.538797557,0.185313866,0.005716052,0.138644129,11.37896156,0.136186138,0.036435533,0.251105815,0.537975311,0.054244548,0.053329013,2.04311657,0.340865612,0.034132969,0.705396116,5.125833511,0.354882658,0.094332598,2.79E-05,5.583574295,0.010559429,0.004152532,0.000597264,0.25776422,0.215954944,0.623899937,27.720644,14.08065796,1.86877203,1.348892331,0.243280426,1901.16,4456.94,5025.79,5753.44,4472.83,269.8399963,138.1600037,83.20999908,38.88999939,39.40999985,27.93000031,48.15000153,78.40000153,103.4400024,15.52000046,117.1399994,15.85000038,25.87000084,1901.16
12/7/18,3419.937256,93.29456329,0.301997453,1.001431227,0.216467932,25.27258492,106.8524933,0.029863769,4.528649807,1.743184686,0.115262806,46.46201706,0.013224827,6.078490257,0.071667083,0.236138538,67.62736511,1.502725601,59.33385849,3.843947411,1.310260653,0.002104043,0.135750517,0.31590721,0.009588336,17.23349762,1.579767346,0.211634219,0.03550515,0.132028118,12.42124367,6.403173447,1.197285175,0.425791919,0.00242972,0.847630739,4.769359112,0.015357831,0.546003342,0.065436199,0.546802938,0.182189077,0.006074921,0.137523964,13.18741322,0.130561575,0.035832085,0.245831132,0.544244885,0.056810256,0.052447971,1.956780314,0.324946493,0.032878228,0.619462192,5.130048275,0.357207924,0.087927282,2.72E-05,5.725530148,0.012736664,0.003981517,0.000621004,0.243899629,0.206112906,0.593480647,28.38811684,14.25232315,1.774822712,1.348341703,0.241817683,1871.39,4109.62,4661.26,5195.89,4123.62,263.5700073,134.8999939,82.12000275,38.47999954,38.61999893,27.67000008,48.22999954,78.55999756,103.3499985,15.69999981,118.0899963,15.77000046,25.79999924,1871.39
12/8/18,3476.114746,92.15963745,0.307269216,1.019975424,0.228282839,24.86401749,104.0475998,0.03067816,4.700418472,1.843627572,0.11899256,45.57361603,0.013466957,6.051512718,0.071005292,0.233074576,69.08840179,1.579427004,57.5770874,3.859452963,1.332829952,0.002120157,0.138020694,0.322779268,0.009807019,17.11491203,1.62212348,0.211870551,0.036168084,0.135573193,11.99884224,6.285136223,1.215578794,0.452150404,0.002443548,0.86695677,4.95642519,0.015157014,0.539819956,0.066457637,0.513967037,0.179184213,0.006055327,0.139992118,14.06597996,0.129074752,0.037233181,0.248130053,0.578222334,0.056339178,0.052396808,1.956239223,0.325442612,0.033142582,0.621989965,5.209396839,0.389502138,0.086163916,2.70E-05,5.770750046,0.014070496,0.004089158,0.000594206,0.241978109,0.215095431,0.600877702,27.94742966,14.28977394,1.779641032,1.302777648,0.245695859,1888.61,4066.29,4659.03,5217.03,4083.54,264.0700073,135.0500031,81.58999634,38.15000153,38.16999817,27.40999985,48.13999939,78.63999939,103.2600021,15.44999981,117.6800003,15.61999989,25.96999931,1888.61
12/9/18,3614.234375,95.14205933,0.313370049,1.015502095,0.239790767,25.94702339,109.6179504,0.031692587,4.859104633,2.032234907,0.124327675,47.74671936,0.013625219,6.409801483,0.074326307,0.244238138,76.50551605,1.695718646,61.08821487,3.995609999,1.375302196,0.002102099,0.143978938,0.334909081,0.010000189,17.60149956,1.661511183,0.223979697,0.037199263,0.140726775,12.53181458,6.454262733,1.261290312,0.464274138,0.002600484,0.886499643,5.02619648,0.015671898,0.556812048,0.06856329,0.499137044,0.190808162,0.006303006,0.158529148,14.10943031,0.138020501,0.038351383,0.260075539,0.617658913,0.057970438,0.052592918,1.992853642,0.337066501,0.034018632,0.641804993,5.455979347,0.428853929,0.09402366,2.99E-05,5.72732687,0.014261208,0.004381516,0.000623073,0.249081165,0.220551386,0.615694046,32.28582764,14.78199768,1.875349045,1.292182922,0.254171997,1923.93,4395.89,5010.21,5671.61,4413.9,264.0700073,135.0500031,81.58999634,38.15000153,38.16999817,27.40999985,48.13999939,78.63999939,103.2600021,15.44999981,117.6800003,15.61999989,25.96999931,1923.93
12/10/18,3502.656006,91.68565369,0.303765714,1.016604304,0.219072029,24.61779976,107.3141861,0.03020284,4.712263107,1.937285542,0.118252978,44.60415268,0.013316728,6.120104313,0.072058134,0.23201938,68.79767609,1.571571827,56.6782074,3.911864519,1.326206088,0.002099965,0.141155869,0.317297876,0.009384681,15.64798164,1.600166202,0.211910248,0.036698218,0.134705812,11.97043991,6.0104599,1.202332377,0.450114191,0.002425424,0.848393559,4.822436333,0.014768324,0.537124336,0.068638705,0.481904566,0.17743811,0.005922475,0.148173213,12.94124794,0.13066116,0.036829691,0.250835299,0.580723941,0.056157798,0.050812382,1.958223224,0.305768728,0.032729622,0.617038608,5.031680584,0.396430433,0.101968236,3.22E-05,4.951848984,0.015490394,0.004186332,0.000594939,0.248713657,0.215590551,0.569360256,32.42511368,13.90773582,1.803565264,1.241415977,0.244161651,1883.46,4161.16,4730.48,5268.6,4175.95,264.0700073,135.0500031,81.58999634,38.15000153,38.16999817,27.40999985,48.13999939,78.63999939,103.2600021,15.44999981,117.6800003,15.61999989,25.96999931,1883.46
12/11/18,3424.588135,88.94530487,0.301345289,1.009793997,0.223391101,23.80238342,102.0729523,0.029550785,4.94069767,1.848829508,0.112835109,42.73680115,0.013291351,5.849906445,0.069995753,0.225301057,64.11234283,1.65843451,54.30749512,3.744005203,1.28777492,0.002088297,0.137083054,0.302823216,0.008772669,14.77280617,1.668256521,0.203312859,0.036542747,0.132206261,11.49729347,6.231216908,1.179814577,0.402703911,0.002371676,0.82140255,4.823282242,0.014322499,0.522980332,0.066074483,0.429797262,0.172731698,0.00571747,0.138059407,11.82177162,0.129461572,0.036268003,0.238918886,0.552217185,0.053132847,0.049984604,1.91900146,0.30193615,0.030746961,0.630419552,4.905177593,0.382780701,0.09195631,3.57E-05,4.839346886,0.013511882,0.003856673,0.000566461,0.239798889,0.21027115,0.558573008,36.17965317,13.4863205,1.71474278,1.173195362,0.240681633,1838.21,4082.2,4634.68,5145.7,4096.05,264.1300049,135.0200043,81.62999725,38.18999863,38.56000137,27.45000076,48.08000183,78.65000153,103.5299988,15.53999996,117.5400009,15.63000011,26.04000092,1838.21
