Date,BTC,BCN,XRP,SYS,LTC,BTS,MAID,XVG,MONA,XLM,XMR,DGB,DOGE,DASH,NXS,XEM,ETH,SC,REP,CCI30,BITX,BITW20,BITW70,BITW100,US Stocks,US Real Estate,World Stocks,Bonds,Broad Commodities,Gold
2017-01-01,998.3250122070312,5.8000001445179805e-05,0.0063680000603199005,0.008940000087022781,4.511590003967285,0.004048999864608049,0.09692099690437317,2.2000000171829015e-05,0.023514000698924065,0.002481000032275915,13.972800254821777,0.00026000000070780516,0.0002280000044265762,11.22920036315918,0.027439000084996223,0.00343999988399446,8.17257022857666,0.0002300000051036477,3.999530076980591,315.744,964.0,964.0,964.0,964.0,107.92051696777344,70.29350280761719,32.76396179199219,72.03693389892578,15.205747604370117,110.47000122070312
2017-01-02,1021.75,5.900000178371556e-05,0.006310999859124422,0.008747000247240067,4.648940086364746,0.004050999879837036,0.09351500123739243,2.099999983329326e-05,0.0232900008559227,0.0024770000018179417,16.051599502563477,0.0002570000069681555,0.00022600000374950469,11.807900428771973,0.032646000385284424,0.0033770001027733088,8.378510475158691,0.00023799999326001853,4.191050052642822,323.07,995.54,978.53,1003.46,996.0,107.92051696777344,70.29350280761719,32.76396179199219,72.03693389892578,15.205747604370117,110.47000122070312
2017-01-03,1043.8399658203125,5.400000009103678e-05,0.006386000197380781,0.009037000127136707,4.626200199127197,0.004153999965637922,0.09913499653339386,2.099999983329326e-05,0.024142999202013016,0.002553999889642,16.092899322509766,0.00028700000257231295,0.00022699999681208283,12.781700134277344,0.03420199826359749,0.0035729999653995037,9.725250244140625,0.0002530000056140125,4.2687201499938965,334.754,1019.78,985.83,997.34,1019.82,107.92051696777344,70.29350280761719,32.76396179199219,72.03693389892578,15.205747604370117,110.47000122070312
2017-01-04,1154.72998046875,5.999999848427251e-05,0.006570000201463699,0.009151999838650227,4.837850093841553,0.004437999799847603,0.11023899912834167,2.300000051036477e-05,0.027236999943852425,0.002735000103712082,18.527099609375,0.00028899998869746923,0.00023600000713486224,16.524200439453125,0.03771999850869179,0.003766000038012862,11.25160026550293,0.0002849999873433262,4.941050052642822,371.64599999999996,1046.8,1003.79,1033.46,1047.76,108.74708557128906,71.32073974609375,33.1649284362793,72.09042358398438,15.322340965270996,110.86000061035156
2017-01-05,1013.3800048828125,5.2999999752501026e-05,0.006200999952852726,0.008217000402510166,4.292719841003418,0.004089000169187784,0.10226999968290329,1.9999999494757503e-05,0.024584000930190086,0.002597999991849065,16.187599182128906,0.00028199999360367656,0.00022899999748915434,14.378199577331543,0.040403999388217926,0.0036379999946802855,10.254400253295898,0.0002840000088326633,5.102950096130371,334.115,1163.73,1110.15,1139.28,1163.81,108.53347778320312,71.54995727539062,33.458988189697266,72.45597076416016,15.400071144104004,112.58000183105469
2017-01-06,902.2009887695312,5.2999999752501026e-05,0.0063149998895823956,0.008071999996900558,3.861259937286377,0.003662999952211976,0.09306599944829941,2.2000000171829015e-05,0.023446999490261078,0.0024939998984336853,14.029999732971191,0.00033400001120753586,0.00022000000171829015,12.032299995422363,0.044961001724004745,0.0033289999701082706,10.25469970703125,0.00025599999935366213,5.108650207519531,308.409,1023.44,1010.23,1003.22,1025.04,108.87710571289062,71.5584487915039,33.32532501220703,72.17066192626953,15.380638122558594,111.75
2017-01-07,908.5850219726562,5.400000009103678e-05,0.006366000045090914,0.00813599955290556,3.9558799266815186,0.0036780000664293766,0.09203899651765823,1.8000000636675395e-05,0.023612000048160553,0.0023960000835359097,13.063199996948242,0.00032900000223889947,0.0002209999947808683,12.439299583435059,0.04532099887728691,0.003507999936118722,9.86719036102295,0.0002880000101868063,4.685029983520508,307.73,920.34,937.8,971.82,921.47,108.87710571289062,71.5584487915039,33.32532501220703,72.17066192626953,15.380638122558594,111.75
2017-01-08,911.198974609375,4.999999873689376e-05,0.006233000196516514,0.008515999652445316,3.994580030441284,0.0036989999935030937,0.09385299682617188,1.8000000636675395e-05,0.02354400046169758,0.002355000004172325,13.471799850463867,0.0003549999964889139,0.0002209999947808683,12.54069995880127,0.045471999794244766,0.0034209999721497297,10.289799690246582,0.00035099999513477087,4.559370040893555,309.316,921.79,945.9,1014.8,922.96,108.87710571289062,71.5584487915039,33.32532501220703,72.17066192626953,15.380638122558594,111.75
2017-01-09,902.8280029296875,4.600000102072954e-05,0.006167000159621239,0.009213999845087528,4.301959991455078,0.0037479999009519815,0.09453699737787247,1.8000000636675395e-05,0.023833999410271645,0.002346999943256378,13.736100196838379,0.000299000006634742,0.00022899999748915434,12.092499732971191,0.045591000467538834,0.003607999999076128,10.325599670410156,0.0003349999897181988,4.216040134429932,308.995,927.93,948.33,1046.98,929.99,108.45917510986328,70.91323852539062,33.24513244628906,72.34896850585938,15.14745044708252,112.66999816894531
2017-01-10,907.6790161132812,4.8000001697801054e-05,0.006697999779134989,0.00911100022494793,4.591509819030762,0.003826000029221177,0.09439200162887573,1.8000000636675395e-05,0.02351599931716919,0.002355000004172325,13.391300201416016,0.00027099999715574086,0.00022600000374950469,12.48550033569336,0.05112199857831001,0.0036009999457746744,10.549599647521973,0.00031599999056197703,4.209169864654541,313.733,919.19,947.1,1062.01,921.25,108.54277801513672,70.31047058105469,33.28076934814453,72.33113098144531,15.079439163208008,113.1500015258789
