Date,BTC,ETH,XRP,LINK,LTC,BCH,ADA,BNB,EOS,XLM,XMR,TRX,NEO,XEM,MIOTA,DASH,WAVES,ZEC,ETC,OMG,DOGE,BAT,ZRX,DGB,DCR,QTUM,ICX,LRC,KNC,BTG,REP,LSK,ANT,SC,NANO,ZEN,SNT,BNT,GNT,MONA,RLC,XVG,MAID,GNO,STORJ,BTS,STEEM,KMD,CVC,ARDR,MCO,ARK,SYS,HC,XZC,AE,ADX,KIN,MLN,DNT,FUN,BCN,MTL,SALT,PIVX,GBYTE,DGD,GAS,PPT,NXS,CCI30,BITX,BITW20,BITW70,BITW100,SPY,VTI,VNQ,VEA,BND,DBC,GLD
1/11/18,13405.7998,1154.930054,1.950799942,1.010329962,229.3659973,2462.610107,0.688412011,21.04269981,11.35490036,0.558125973,355.5920105,0.109080002,108.2949982,1.313009977,3.367330074,1007.880005,10.71240044,646.5980225,32.79389954,21.65660095,0.011469,0.653207004,1.852079988,0.093983002,102.2509995,45.75279999,9.198300362,1.424430013,4.195089817,210.9329987,101.9260025,25.25620079,6.009389877,0.064795002,24.3701992,51.95289993,0.387876004,8.44701004,0.813863993,7.65444994,2.017499924,0.144270003,0.907508016,326.1940002,1.982859969,0.581019998,4.372739792,7.264639854,0.883894026,1.346539974,14.88749981,8.092989922,0.746743023,17.41559982,93.07189941,2.058300018,2.624959946,0.000666,208.0460052,0.220420003,0.131222993,0.009351,5.126349926,11.4289999,12.33909988,704.5269775,190.2449951,48.37039948,48.19219971,8.432800293,16430.9,24111.29,59026.48,88972.56,27336.21,261.0618896,134.240799,70.19297028,42.53759766,74.65254974,16.38140106,125.4400024
1/12/18,13980.59961,1273.199951,2.043230057,1.051560044,236.8560028,2620.98999,0.897508025,22.31629944,13.74580002,0.677959979,394.7829895,0.108857997,124.4690018,1.44464004,3.691030025,1054.869995,11.34080029,700.809021,36.40390015,22.83519936,0.013056,0.742049992,2.220319986,0.102619998,116.1610031,50.40999985,9.962189674,1.476439953,4.631169796,220.5460052,105.4639969,29.4307003,6.142119884,0.065416001,24.79100037,53.65539932,0.455720007,9.205539703,0.91554302,7.994400024,3.806790113,0.158980995,0.977035999,371.2810059,2.201950073,0.649088025,5.428100109,8.348959923,1.061660051,1.494969964,16.00460052,9.000659943,0.798784971,18.8173008,100.2389984,2.22378993,2.874850035,0.0006,222.4680023,0.297500998,0.142072007,0.011274,6.242400169,12.19499969,12.76329994,1002.909973,205.6560059,53.52180099,50.35680008,9.346010208,17907,25574.71,66105.5,97011.77,29200.08,262.7637939,135.0259094,69.62611389,42.94132614,74.64334869,16.48827553,126.9599991
1/13/18,14360.2002,1396.420044,2.021349907,1.101230025,259.1929932,2685.290039,0.884123981,22.17440033,16.23390007,0.671563983,420.0539856,0.103035003,140.621994,1.509359956,3.936980009,1100.26001,11.82859993,701.5830078,42.39390182,25.71699905,0.013023,0.763972998,2.36748004,0.102049999,122.7369995,54.70429993,9.924790382,1.242249966,4.494619846,330.1289978,106.1500015,29.34490013,6.13917017,0.064466998,23.18630028,56.38180161,0.478774011,10.09599972,0.966392994,8.062069893,3.547739983,0.156725004,1.093680024,378.0979919,2.302939892,0.628813982,6.2853899,9.164179802,1.143700004,2.043580055,18.55599976,9.033320427,0.979291022,19.34110069,108.0210037,2.314870119,2.868010044,0.000684,240.8470001,0.277245998,0.138567001,0.011222,6.247439861,11.72980022,12.86250019,1187.099976,233.9720001,60.87540054,50.71789932,9.398309708,18896.5,26592.04,73363.71,99914.94,30534.28,261.8655701,134.4299622,69.75897217,42.89544296,74.69860077,16.41054726,127.1699982
1/14/18,13772,1366.77002,1.861189961,1.010840058,238.6750031,2553.320068,0.802262008,20.77729988,13.43570042,0.630855978,399.5190125,0.084781997,170.4179993,1.39151001,3.7355299,1014.070007,11.09119987,675.7559814,42.95729828,23.82620049,0.011684,0.662358999,1.996469975,0.093419999,111.9960022,54.08160019,10.58850002,1.347460032,4.177050114,275.8559875,94.86440277,27.71559906,5.68404007,0.059528999,22.04949951,53.16820145,0.434181005,9.743280411,0.913869023,7.849760056,3.684390068,0.138224006,0.977496982,348.4219971,2.01225996,0.554785013,5.909230232,8.153960228,1.038509965,,17.52529907,8.199939728,0.889438987,18.60700035,98.08200073,2.133399963,2.688430071,0.000628,222.2319946,0.239167005,0.131145999,0.010217,5.661389828,11.33119965,11.66709995,956.8660278,216.8549957,81.32610321,47.92639923,8.328289986,17967.6,25535.98,68190.9,92411.49,29150.22,261.8655701,134.4299622,69.75897217,42.89544296,74.69860077,16.41054726,127.1699982
1/15/18,13819.7998,1291.920044,1.676730037,0.877687991,232.7740021,2401.540039,0.778586984,19.56469917,12.94449997,0.599270999,414.5700073,0.075694002,187.4049988,1.389709949,3.482270002,939.1900024,10.76990032,627.9940186,40.49560165,22.46109962,0.009857,0.689568996,1.747040033,0.083967,104.6949997,52.58459854,9.874019623,1.128919959,4.645669937,267.6759949,90.88359833,26.91110039,5.934679985,0.056485999,20.83279991,46.85240173,0.415820003,8.792679787,0.975620985,8.483810425,3.005460024,0.116516002,1.021800041,322.2489929,1.880290031,0.519846022,5.494559765,7.921959877,0.972518981,2.100980043,16.72830009,7.792160034,0.826875985,17.30870056,89.44069672,1.971089959,2.525969982,0.000526,204.5670013,0.210763007,0.122313999,0.009317,6.367939949,10.33590031,11.84920025,856.0700073,196.9790039,86.06020355,45.94580078,7.33716011,17345.8,24608.17,64503.82,87713.27,28236.15,261.8655701,134.4299622,69.75897217,42.89544296,74.69860077,16.41054726,127.1699982
1/16/18,11490.5,1053.689941,1.179239988,0.756452978,188.3309937,1772.069946,0.626492977,13.89190006,10.27589989,0.441197008,320.0369873,0.054488,145.298996,1.033810019,2.600850105,759.6149902,8.39081955,513.6589966,28.45730019,17.37529945,0.006822,0.483812988,1.567479968,0.059966002,83.13349915,36.02539825,7.510469913,0.867617011,3.436480045,190.1069946,67.61519623,21.15769958,4.306310177,0.036378,14.68179989,40.37279892,0.314781994,6.929870129,0.681455016,6.419760227,2.102469921,0.085239999,0.697960019,210.2350006,1.281159997,0.35187301,3.937220097,5.714479923,0.680555999,1.506080031,11.95670033,5.707930088,0.602478981,11.68809986,75.15419769,1.456519961,1.798570037,0.000438,139.1679993,0.150539994,0.085202999,0.006391,4.275060177,8.2979002,8.374939919,683.0720215,183.072998,62.6833992,37.81980133,5.552179813,13369.5,20015.95,47101.53,63980.47,22128.66,261.8655701,134.4299622,69.75897217,42.89544296,74.69860077,16.41054726,127.1699982
1/17/18,11188.59961,1014.25,1.306339979,0.698634028,186.5160065,1748.050049,0.629101992,14.20320034,10.1942997,0.477187008,319.1860046,0.075622998,141.3699951,1.020480037,2.716619968,793.5679932,8.087340355,496.8169861,29.12360001,18.0564003,0.007648,0.588240027,1.519819975,0.061082002,86.12010193,36.4720993,7.469419956,0.909572005,3.19178009,186.1170044,64.44799805,22.31159973,4.287419796,0.048296999,16.95610046,40.12039948,0.313012987,6.688980103,0.645018995,6.063199997,1.963889956,0.090778001,0.701106012,213.9100037,1.283910036,0.357291996,4.047599792,5.904570103,0.700753987,1.661249995,11.30580044,6.170219898,0.627735019,11.31659985,77.11039734,1.552479982,1.789219975,0.000384,150.8289948,0.167050004,0.09505,0.007244,4.007679939,8.443989754,9.061519623,747.9530029,176.5630035,58.00389862,40.43980026,6.911960125,13536.3,19782.95,49035.97,66970.29,22202.42,264.3615417,135.6691132,70.24612427,43.12483215,74.61569977,16.42997932,126.1399994
1/18/18,11474.90039,1036.280029,1.596580029,0.744229972,192.8370056,1756.75,0.659843028,14.28040028,10.50510025,0.509522974,316.4679871,0.083178997,142.6560059,1.078529954,2.754770041,835.4890137,8.598110199,490.0830078,30.18619919,17.72929955,0.007969,0.591966987,1.648370028,0.064828999,83.76370239,37.36719894,7.932690144,0.929125011,3.248699903,195.3990021,64.66870117,23.02820015,4.850580215,0.051688999,18.04299927,41.8103981,0.328756988,6.833179951,0.653035998,6.365749836,2.17343998,0.114099003,0.705063999,233.9420013,1.549870014,0.350311011,4.266660213,6.346759796,0.759507,1.485640049,11.46450043,6.396570206,0.647782028,11.38010025,77.68280029,1.521350026,1.963739991,0.00053,187.4360046,0.168510005,0.111290999,0.007858,4.666069984,8.229599953,9.431469917,856.4509888,182.0149994,56.35309982,43.61520004,6.767610073,14095.5,20375.14,50026.97,69227.88,23125.25,263.9172668,135.4326477,69.34268951,43.02390289,74.46833038,16.42997932,125.8600006
1/19/18,11607.40039,1039.099976,1.552049994,0.812905014,192.9640045,1769.619995,0.650497973,14.9406004,11.18449974,0.506232023,364.6210022,0.080499001,139.4949951,1.096349955,2.697170019,846.164978,8.781149864,524.3369751,31.70429993,18.43260002,0.007871,0.593370974,1.814939976,0.061193001,103.8450012,39.19039917,8.430109978,1.134050012,4.011529922,217.9499969,77.57990265,23.03779984,4.943369865,0.048824001,17.26469994,42.06790161,0.333297014,6.955629826,0.70077002,6.147739887,2.54192996,0.107125998,0.73873198,256.8259888,1.756880045,0.379460007,4.774710178,6.774459839,0.779614985,1.411260009,12.03520012,6.502560139,0.653074026,13.47640038,79.2098999,1.532520056,2.252059937,0.000527,198.8809967,0.206336007,0.122240998,0.007443,5.447199821,7.905690193,9.395350456,818.0609741,180.1730042,54.72430038,42.4231987,6.614500046,14196.4,20684.16,52780.68,74598.03,23564.35,265.1179504,136.1325989,69.71468353,43.21658707,74.31168365,16.40083122,126.4199982
1/20/18,12899.2002,1155.150024,1.578619957,1.219300032,211.0180054,2032.119995,0.707509995,16.19029999,15.51869965,0.534677029,383.7890015,0.085201003,149.9420013,1.205330014,3.004909992,926.1209717,9.600529671,557.598999,35.00910187,19.71109962,0.008448,0.652432978,2.041569948,0.067938,118.8330002,51.2643013,10.33110046,1.412739992,4.44107008,231.125,96.40200043,25.51269913,5.335750103,0.050611999,19.63439941,42.89379883,0.344864011,7.819769859,0.752238989,8.273039818,2.980200052,0.109218001,0.778097987,272.3160095,1.840720057,0.441845,5.54403019,8.138389587,0.873988986,1.413820028,12.91860008,7.100299835,0.760048985,14.55589962,88.78610229,1.795709968,2.349750042,0.000593,239.3200073,0.243024006,0.123047002,0.007842,5.791830063,9.826789856,10.08310032,885.6539917,208.5570068,59.9029007,49.57849884,6.535319805,15671.4,22654.66,60747.03,82045.83,25761.58,267.2735901,137.2108765,70.35240173,43.44597626,74.2564621,16.43969536,126.6500015
