Date,SPY,VTI,VNQ,VEA,VWO,FM,VTIP,BND,JNK,DBC,GLD,BIZD,UUP
2018-11-22,263.25,135.1300048828125,79.9800033569336,39.09000015258789,38.59000015258789,27.149999618530273,48.11000061035156,78.0199966430664,103.19999694824219,15.300000190734863,115.7699966430664,15.970000267028809,25.8700008392334
2018-11-23,263.25,135.1300048828125,79.9800033569336,39.09000015258789,38.59000015258789,27.149999618530273,48.11000061035156,78.0199966430664,103.19999694824219,15.300000190734863,115.7699966430664,15.970000267028809,25.8700008392334
2018-11-24,267.5,137.22999572753906,80.12999725341797,39.619998931884766,38.86000061035156,27.270000457763672,48.11000061035156,77.95999908447266,103.6500015258789,15.369999885559082,115.63999938964844,15.970000267028809,25.920000076293945
2018-11-25,267.5,137.22999572753906,80.12999725341797,39.619998931884766,38.86000061035156,27.270000457763672,48.11000061035156,77.95999908447266,103.6500015258789,15.369999885559082,115.63999938964844,15.970000267028809,25.920000076293945
2018-11-26,267.5,137.22999572753906,80.12999725341797,39.619998931884766,38.86000061035156,27.270000457763672,48.11000061035156,77.95999908447266,103.6500015258789,15.369999885559082,115.63999938964844,15.970000267028809,25.920000076293945
2018-11-27,268.3999938964844,137.39999389648438,80.47000122070312,39.5,39.13999938964844,27.43000030517578,48.04999923706055,78.01000213623047,103.6500015258789,15.3100004196167,114.94999694824219,16.010000228881836,25.989999771118164
2018-11-28,274.5799865722656,140.60000610351562,81.19000244140625,40.08000183105469,40.0099983215332,27.649999618530273,48.099998474121094,78.05000305175781,104.43000030517578,15.260000228881836,115.37999725341797,16.139999389648438,25.860000610351562
2018-11-29,273.9800109863281,140.33999633789062,81.20999908447266,39.88999938964844,39.7400016784668,27.649999618530273,48.20000076293945,78.11000061035156,104.48999786376953,15.359999656677246,115.73999786376953,16.149999618530273,25.81999969482422
2018-11-30,275.6499938964844,141.35000610351562,81.9800033569336,39.75,39.689998626708984,27.600000381469727,48.18000030517578,78.13999938964844,104.19000244140625,15.289999961853027,115.54000091552734,16.059999465942383,25.920000076293945
2018-12-01,279.29998779296875,143.0,82.41999816894531,40.279998779296875,40.47999954223633,27.959999084472656,48.16999816894531,78.06999969482422,104.43000030517578,15.640000343322754,116.41000366210938,16.239999771118164,25.93000030517578
2018-12-02,279.29998779296875,143.0,82.41999816894531,40.279998779296875,40.47999954223633,27.959999084472656,48.16999816894531,78.06999969482422,104.43000030517578,15.640000343322754,116.41000366210938,16.239999771118164,25.93000030517578
2018-12-03,279.29998779296875,143.0,82.41999816894531,40.279998779296875,40.47999954223633,27.959999084472656,48.16999816894531,78.06999969482422,104.43000030517578,15.640000343322754,116.41000366210938,16.239999771118164,25.93000030517578
2018-12-04,270.25,138.3300018310547,81.19999694824219,39.2599983215332,39.72999954223633,27.729999542236328,48.20000076293945,78.26000213623047,103.88999938964844,15.649999618530273,117.12000274658203,16.0,25.8799991607666
2018-12-05,269.8399963378906,138.16000366210938,83.20999908447266,38.88999938964844,39.40999984741211,27.93000030517578,48.150001525878906,78.4000015258789,103.44000244140625,15.520000457763672,117.13999938964844,15.850000381469727,25.8700008392334
2018-12-06,269.8399963378906,138.16000366210938,83.20999908447266,38.88999938964844,39.40999984741211,27.93000030517578,48.150001525878906,78.4000015258789,103.44000244140625,15.520000457763672,117.13999938964844,15.850000381469727,25.8700008392334
2018-12-07,263.57000732421875,134.89999389648438,82.12000274658203,38.47999954223633,38.619998931884766,27.670000076293945,48.22999954223633,78.55999755859375,103.3499984741211,15.699999809265137,118.08999633789062,15.770000457763672,25.799999237060547
2018-12-08,264.07000732421875,135.0500030517578,81.58999633789062,38.150001525878906,38.16999816894531,27.40999984741211,48.13999938964844,78.63999938964844,103.26000213623047,15.449999809265137,117.68000030517578,15.619999885559082,25.969999313354492
2018-12-09,264.07000732421875,135.0500030517578,81.58999633789062,38.150001525878906,38.16999816894531,27.40999984741211,48.13999938964844,78.63999938964844,103.26000213623047,15.449999809265137,117.68000030517578,15.619999885559082,25.969999313354492
2018-12-10,264.07000732421875,135.0500030517578,81.58999633789062,38.150001525878906,38.16999816894531,27.40999984741211,48.13999938964844,78.63999938964844,103.26000213623047,15.449999809265137,117.68000030517578,15.619999885559082,25.969999313354492
2018-12-11,264.1300048828125,135.02000427246094,81.62999725341797,38.189998626708984,38.560001373291016,27.450000762939453,48.08000183105469,78.6500015258789,103.52999877929688,15.539999961853027,117.54000091552734,15.630000114440918,26.040000915527344
2018-12-12,265.4599914550781,135.7899932861328,80.37000274658203,38.790000915527344,39.13999938964844,27.440000534057617,48.08000183105469,78.56999969482422,103.83000183105469,15.489999771118164,117.79000091552734,15.630000114440918,25.940000534057617
2018-12-13,265.3699951171875,135.4600067138672,79.87999725341797,38.720001220703125,39.20000076293945,27.399999618530273,47.7599983215332,78.62999725341797,104.0999984741211,15.6899995803833,117.52999877929688,15.5600004196167,25.940000534057617
2018-12-14,260.4700012207031,133.1199951171875,79.6500015258789,38.189998626708984,38.709999084472656,27.280000686645508,47.77000045776367,78.69999694824219,103.6500015258789,15.449999809265137,117.05999755859375,15.359999656677246,26.040000915527344
2018-12-15,255.36000061035156,130.27999877929688,76.6500015258789,37.86000061035156,38.290000915527344,27.030000686645508,47.79999923706055,78.8499984741211,102.95999908447266,15.270000457763672,117.87000274658203,14.670000076293945,25.969999313354492
2018-12-16,255.36000061035156,130.27999877929688,76.6500015258789,37.86000061035156,38.290000915527344,27.030000686645508,47.79999923706055,78.8499984741211,102.95999908447266,15.270000457763672,117.87000274658203,14.670000076293945,25.969999313354492
