Date,AAPL,MSFT,AMZN,GOOGL,FB,V,WMT,JNJ,PG,JPM,UNH,MA,NVDA,HD,VZ,DIS,BAC,KO,CRM,CMCSA,ADBE,PFE,NFLX,T,MRK,NKE,ABT,PEP,TMO,INTC,ABBV,CSCO,ORCL,COST,DHR,QCOM,CVX,TMUS,MCD,XOM,ACN,NEE,MDT,AVGO,BMY,TXN,UPS,HON,AMGN,UNP,LLY,LIN,CHTR,LOW,PM,SBUX,AMT,BA,LMT,IBM,MS,C,BLK,RTX,WFC,MMM,NOW,AMD,INTU,CAT,CVS,AXP,EL,FIS,ISRG,SYK,SCHW,BKNG,ANTM,MDLZ,SPGI,TGT,GE,CI,DE,ZTS,PLD,GILD,GS,MO,ADP,CL,CCI,FISV,FDX,TJX,BDX,DUK,D,CSX
2015-01-02,24.696352005004883,41.647891998291016,308.5199890136719,529.5499877929688,78.44999694824219,63.47579574584961,74.43817901611328,89.31684112548828,75.38273620605469,52.89167404174805,91.9832534790039,82.40628051757812,19.38051414489746,90.74297332763672,35.855350494384766,87.37626647949219,16.126829147338867,34.88928985595703,59.2400016784668,25.59123420715332,72.33999633789062,25.139171600341797,49.84857177734375,24.135557174682617,47.99616622924805,43.93678665161133,39.861053466796875,79.76753997802734,125.61756134033203,30.858051300048828,50.40806198120117,22.96480941772461,40.29297637939453,123.78858947753906,42.75959777832031,60.77478790283203,88.111083984375,26.79232406616211,79.6888427734375,70.86282348632812,78.90406799316406,21.48578643798828,63.503761291503906,84.75651550292969,50.774131774902344,45.59706115722656,91.46597290039062,84.21604919433594,136.28985595703125,104.12284088134766,60.17262649536133,114.352294921875,166.42999267578125,60.84199523925781,60.00388717651367,36.551795959472656,89.09989166259766,112.7860107421875,165.94520568847656,124.08369445800781,33.683414459228516,48.31352996826172,307.32611083984375,62.548912048339844,45.060791015625,139.3970489501953,67.37999725341797,2.6700000762939453,86.04961395263672,75.25395965576172,81.84359741210938,84.5301513671875,70.52710723876953,57.918968200683594,175.19000244140625,87.3862533569336,28.03922462463379,1142.06005859375,115.2848129272461,32.86408233642578,83.13349151611328,62.78228759765625,20.745059967041016,102.66985321044922,77.78564453125,41.57793426513672,36.31746292114258,80.79851531982422,177.05648803710938,36.314537048339844,73.12395477294922,60.068321228027344,64.10389709472656,35.310001373291016,162.01986694335938,30.437448501586914,128.6564483642578,64.12028503417969,60.90520095825195,32.391578674316406
2015-01-05,24.000614166259766,41.26490783691406,302.19000244140625,519.4600219726562,77.19000244140625,62.074649810791016,74.2215347290039,88.69303894042969,75.0243148803711,51.249664306640625,90.46817016601562,80.0883560180664,19.05317497253418,88.83914184570312,35.557579040527344,86.09940338134766,15.658340454101562,34.88928985595703,58.16999816894531,25.06932830810547,71.9800033569336,25.00276756286621,47.31142807006836,23.907533645629883,48.70951461791992,43.229393005371094,39.86992645263672,79.1678237915039,123.89195251464844,30.51009178161621,49.459407806396484,22.507343292236328,39.7279052734375,122.38118743896484,42.33559036254883,60.4884147644043,84.58914947509766,26.4292049407959,78.8087158203125,68.92390441894531,77.57182312011719,21.258224487304688,63.238739013671875,83.4016342163086,49.98066329956055,44.8893928527832,89.63465881347656,82.61122131347656,134.67027282714844,100.60262298583984,59.580013275146484,111.33399200439453,160.5,59.3861083984375,59.5521354675293,35.85163116455078,87.81261444091797,112.00487518310547,162.4942626953125,122.13123321533203,32.63052749633789,46.79093933105469,299.3742980957031,61.505001068115234,43.82511901855469,136.25328063964844,67.1500015258789,2.6600000858306885,85.70997619628906,71.2815933227539,81.03461456298828,82.29466247558594,69.67807006835938,56.91668701171875,171.4566650390625,86.03813171386719,27.102108001708984,1097.5799560546875,113.26321411132812,32.37276840209961,81.66133117675781,61.65715026855469,20.3642635345459,100.90259552001953,76.1214370727539,41.328330993652344,36.29237747192383,82.39898681640625,171.52828979492188,36.10689926147461,73.07129669189453,59.62458038330078,63.692726135253906,34.90999984741211,159.53016662597656,30.097070693969727,129.44752502441406,63.197181701660156,60.166385650634766,31.51515769958496
2015-01-06,24.00287628173828,40.659244537353516,295.2900085449219,506.6400146484375,76.1500015258789,61.67465591430664,74.79345703125,88.25720977783203,74.68257141113281,49.920806884765625,90.28560638427734,79.91524505615234,18.475513458251953,88.56719207763672,35.91642761230469,85.64270782470703,15.18985366821289,35.154239654541016,57.20000076293945,24.742294311523438,70.52999877929688,25.211387634277344,46.501426696777344,23.94316291809082,50.62298583984375,42.97509765625,39.417171478271484,78.5681381225586,122.7349853515625,29.941476821899414,49.214603424072266,22.499019622802734,39.31778335571289,123.9983139038086,42.046268463134766,59.629310607910156,84.55000305175781,26.37032127380371,78.9540023803711,68.5574722290039,77.01226806640625,21.34078598022461,62.9206657409668,81.50477600097656,49.89533615112305,44.14762878417969,89.04632568359375,82.41795349121094,130.33160400390625,98.5220947265625,59.8806266784668,109.90843963623047,156.30999755859375,59.52091979980469,60.063140869140625,35.559906005859375,87.5801773071289,110.68563842773438,161.73025512695312,119.49735260009766,31.690767288208008,45.143680572509766,294.7221984863281,60.63506317138672,42.91072463989258,134.80035400390625,66.33000183105469,2.630000114440918,83.07785034179688,70.82292938232422,81.09485626220703,80.54080963134766,69.0342788696289,56.842445373535156,173.26333618164062,85.91726684570312,26.10932159423828,1079.9599609375,114.8070068359375,32.14944076538086,80.47986602783203,61.6488037109375,19.925519943237305,101.30196380615234,75.48747253417969,40.92512512207031,36.417808532714844,83.13111877441406,168.05838012695312,36.32194900512695,72.46550750732422,58.9981575012207,63.5717658996582,34.94499969482422,159.520751953125,29.949270248413086,129.19918823242188,64.23470306396484,59.85985565185547,30.259254455566406
2015-01-07,24.339447021484375,41.17583084106445,298.4200134277344,505.1499938964844,76.1500015258789,62.50098419189453,76.77790069580078,90.20559692382812,75.07432556152344,49.996978759765625,91.20745086669922,81.15836334228516,18.4273738861084,91.6027603149414,35.68466567993164,86.51881408691406,15.261929512023926,35.59304428100586,56.93000030517578,24.719900131225586,71.11000061035156,25.556415557861328,46.74285888671875,23.972068786621094,51.705604553222656,43.8628044128418,39.73677062988281,80.86553192138672,126.4117202758789,30.569496154785156,51.20369338989258,22.70696258544922,39.32688903808594,126.15754699707031,42.30066680908203,60.32477569580078,84.47957611083984,27.724658966064453,80.3296890258789,69.25213623046875,78.62873840332031,21.5361328125,64.49325561523438,83.70647430419922,50.54376983642578,44.94054412841797,89.8749771118164,83.0145034790039,134.88340759277344,99.0663833618164,59.45976638793945,111.14041137695312,156.7899932861328,61.29133987426758,60.51491165161133,36.43510437011719,88.5009536743164,112.40410614013672,163.81626892089844,118.71635437011719,32.14325714111328,45.56216812133789,300.9595031738281,61.29294967651367,43.16609191894531,135.7774658203125,67.08999633789062,2.5799999237060547,83.8915023803711,71.92042541503906,82.55789184570312,82.29985046386719,69.35152435302734,57.779754638671875,174.2133331298828,87.5443115234375,26.619630813598633,1069.5699462890625,115.37669372558594,33.15885543823242,81.54882049560547,63.982418060302734,19.933801651000977,103.67826080322266,75.16167449951172,41.76993179321289,36.969722747802734,84.68903350830078,170.56288146972656,36.9893684387207,73.09761047363281,59.467979431152344,64.90206146240234,35.41999816894531,160.69515991210938,30.5628604888916,132.22564697265625,64.44070434570312,60.103511810302734,30.65680694580078
2015-01-08,25.27462387084961,42.38714599609375,300.4599914550781,506.9100036621094,78.18000030517578,63.339290618896484,78.39838409423828,90.91484069824219,75.9328384399414,51.11424255371094,95.56110382080078,82.42074584960938,19.120563507080078,93.62940216064453,36.449493408203125,87.41353607177734,15.577259063720703,36.02356719970703,58.59000015258789,25.257478713989258,72.91999816894531,26.07797622680664,47.779998779296875,24.21056365966797,52.74626159667969,44.87534713745117,40.55352020263672,82.33523559570312,127.72561645507812,31.13811683654785,51.73921585083008,22.881629943847656,39.56385040283203,127.24144744873047,42.95414733886719,60.96296691894531,86.41273498535156,28.48033905029297,80.6287612915039,70.40480041503906,79.82775115966797,21.667036056518555,66.03931427001953,87.88969421386719,51.80651092529297,45.67378234863281,91.49082946777344,84.52693939208984,134.3975067138672,102.77971649169922,60.86831283569336,112.97074890136719,162.94000244140625,62.58548355102539,61.42585754394531,37.02305221557617,89.32337188720703,114.39167022705078,167.507568359375,121.296630859375,32.621826171875,46.24778366088867,304.4744567871094,62.33686828613281,44.121681213378906,139.0316925048828,68.88999938964844,2.609999895095825,85.0173568725586,72.65757751464844,84.31352996826172,83.46643829345703,70.349853515625,58.59644317626953,177.6666717529297,89.03189086914062,27.315509796142578,1082.8499755859375,120.8808822631836,33.57870101928711,82.28018951416016,64.28243255615234,20.173866271972656,108.96002960205078,76.15665435791016,42.41313552856445,36.97808074951172,87.08976745605469,173.2860107421875,37.61228942871094,74.77449798583984,60.277137756347656,65.92597961425781,36.13999938964844,164.4532470703125,30.72409439086914,134.63575744628906,64.70008087158203,60.81088638305664,31.144716262817383
2015-01-09,25.30173110961914,42.03087615966797,296.92999267578125,500.7200012207031,77.73999786376953,62.40038299560547,77.42782592773438,89.67576599121094,75.22437286376953,50.22550582885742,94.66663360595703,81.37034606933594,19.197589874267578,92.02388763427734,36.12501907348633,87.84225463867188,15.297966957092285,35.626155853271484,58.15999984741211,25.217161178588867,71.83999633789062,26.198335647583008,47.04142761230469,24.138288497924805,52.50288391113281,44.38063049316406,40.12738800048828,81.77777099609375,127.21571350097656,31.19752311706543,50.32390594482422,23.114519119262695,39.545631408691406,125.28340911865234,42.66482162475586,60.88934326171875,84.69087219238281,28.70606231689453,79.64610290527344,70.30557250976562,79.73894500732422,21.475719451904297,65.73011016845703,88.82962799072266,51.46522903442383,45.6993522644043,90.81961822509766,83.12374877929688,132.74388122558594,100.93621826171875,60.06096649169922,111.44840240478516,161.97999572753906,61.408172607421875,61.262908935546875,35.81123733520508,88.86746978759766,114.16598510742188,167.41311645507812,121.824951171875,32.09104537963867,45.21492004394531,300.8647155761719,61.99435043334961,43.39674758911133,137.3238983154297,67.11000061035156,2.630000114440918,83.2292251586914,71.78939056396484,84.2705078125,82.40922546386719,69.88334655761719,58.401554107666016,173.6233367919922,87.95341491699219,26.396953582763672,1051.9599609375,119.27281951904297,33.248191833496094,81.57695770263672,63.699066162109375,19.892412185668945,107.83180236816406,75.41703033447266,42.4803352355957,36.91954040527344,87.01315307617188,170.62667846679688,37.52328872680664,74.23892974853516,59.68550491333008,65.80504608154297,36.03499984741211,162.2171630859375,30.343399047851562,133.04434204101562,64.79161834716797,60.1270866394043,31.081459045410156
2015-01-12,24.678279876708984,41.50537872314453,291.4100036621094,497.05999755859375,76.72000122070312,62.278228759765625,78.0083999633789,89.36814880371094,74.94930267333984,49.793846130371094,93.59877014160156,80.32964324951172,18.956893920898438,91.61154174804688,36.37224197387695,88.0379867553711,15.027684211730957,35.303260803222656,57.72999954223633,25.16339874267578,71.12000274658203,26.294620513916016,45.547142028808594,24.20333480834961,52.28468704223633,44.320518493652344,40.4647331237793,81.43989562988281,125.9901123046875,31.061723709106445,50.3086051940918,23.33077049255371,39.43626403808594,124.58405303955078,42.13605499267578,60.193878173828125,82.86729431152344,28.725690841674805,79.47522735595703,68.95443725585938,79.49913787841797,21.421340942382812,65.79193878173828,87.356201171875,53.05218505859375,45.29011917114258,90.85277557373047,82.72044372558594,133.16151428222656,100.0495834350586,59.62295150756836,111.2020034790039,163.85000610351562,60.9767951965332,61.50733184814453,36.008724212646484,88.48307800292969,113.58447265625,166.94097900390625,119.78064727783203,31.64726448059082,44.85874938964844,298.88330078125,62.22813415527344,42.87776184082031,136.57620239257812,68.19000244140625,2.630000114440918,82.04656982421875,71.16692352294922,83.6508560180664,81.57071685791016,69.28622436523438,58.21595001220703,175.1699981689453,87.41414642333984,26.13715934753418,1039.97998046875,118.38147735595703,32.93553161621094,80.41424560546875,63.86573791503906,19.85102081298828,106.0146255493164,75.24090576171875,41.683536529541016,37.29583740234375,86.16181945800781,168.55015563964844,37.760597229003906,73.87898254394531,59.38967514038086,65.72442626953125,35.98500061035156,162.13262939453125,30.186641693115234,132.06004333496094,64.85266876220703,60.1270866394043,30.63873291015625
2015-01-13,24.89739227294922,41.2916145324707,294.739990234375,501.79998779296875,76.44999694824219,62.46025848388672,77.3931655883789,89.52195739746094,75.26603698730469,49.802303314208984,94.0733642578125,80.51271057128906,18.92801284790039,91.00618743896484,36.449493408203125,88.7183609008789,14.820466041564941,35.29499435424805,57.970001220703125,25.46354866027832,70.58999633789062,26.029829025268555,46.255714416503906,24.20333480834961,52.19236755371094,43.92753219604492,39.81324005126953,81.38078308105469,125.83325958251953,30.976871490478516,48.85954284667969,23.37236785888672,39.126380920410156,123.33406066894531,42.076194763183594,59.70294952392578,81.55244445800781,28.92197036743164,79.32139587402344,68.7025146484375,79.78333282470703,21.50592803955078,64.3077163696289,86.86503601074219,53.85419464111328,45.008750915527344,91.24222564697266,83.3086166381836,132.240966796875,98.17097473144531,59.588584899902344,110.43643188476562,164.39999389648438,60.985774993896484,61.544349670410156,36.29597091674805,87.4997329711914,113.84484100341797,166.8379669189453,120.06392669677734,31.351415634155273,44.53820037841797,299.787841796875,62.168338775634766,42.713016510009766,136.47421264648438,67.2699966430664,2.6600000858306885,81.65867614746094,70.74102020263672,83.68529510498047,81.32463836669922,69.52879333496094,58.34587097167969,173.8866729736328,87.60009002685547,26.155712127685547,1037.8199462890625,119.71390533447266,32.72114562988281,85.2244873046875,63.29899215698242,19.751684188842773,106.66361236572266,75.62837219238281,41.097923278808594,36.551605224609375,82.7565689086914,168.4226531982422,38.057220458984375,73.72974395751953,59.79860305786133,65.57123565673828,36.11000061035156,161.1272735595703,30.079151153564453,130.36744689941406,65.20358276367188,60.079925537109375,30.31346321105957
2015-01-14,24.802518844604492,40.93534851074219,293.2699890136719,505.92999267578125,76.27999877929688,61.209999084472656,75.05342102050781,88.87249755859375,75.00763702392578,48.08412170410156,94.3106689453125,80.42598724365234,19.005033493041992,90.04988098144531,36.28726577758789,87.82362365722656,14.45108413696289,35.237022399902344,57.25,25.00660514831543,69.98999786376953,26.06192970275879,46.31999969482422,24.087703704833984,52.57002258300781,43.32647705078125,39.51871109008789,81.65106964111328,123.73505401611328,30.849559783935547,49.098480224609375,23.222646713256836,39.244876861572266,121.77801513671875,41.41276168823242,59.089317321777344,81.31765747070312,29.020111083984375,78.2191390991211,68.50404357910156,78.85078430175781,21.638839721679688,63.40660095214844,87.55096435546875,53.70915603637695,44.94054412841797,90.62903594970703,82.92208099365234,132.25802612304688,97.75837707519531,59.91496658325195,109.63565063476562,158.1300048828125,60.563392639160156,61.781341552734375,36.09400177001953,86.94549560546875,113.1592025756836,165.8765411376953,119.29061889648438,30.637897491455078,43.67451095581055,297.8667297363281,61.722503662109375,42.21875,135.81146240234375,66.33999633789062,2.630000114440918,81.58297729492188,70.49530792236328,83.76274871826172,79.35598754882812,69.15557861328125,57.742652893066406,178.45333862304688,86.69824981689453,25.264995574951172,1035.6700439453125,121.11980438232422,32.649696350097656,83.35851287841797,61.94884490966797,19.685457229614258,107.27267456054688,76.14786529541016,41.30912780761719,36.55996322631836,84.50177764892578,164.14219665527344,38.361263275146484,73.51903533935547,59.55499267578125,65.8292236328125,35.89500045776367,162.30174255371094,29.662626266479492,129.53030395507812,65.37139892578125,60.0877799987793,30.4038143157959
2015-01-15,24.12936782836914,40.507835388183594,286.95001220703125,504.010009765625,74.05000305175781,60.627986907958984,75.72066497802734,87.5821533203125,74.89927673339844,46.543663024902344,95.34202575683594,79.25996398925781,18.87025260925293,88.61982727050781,36.387691497802734,87.93545532226562,13.694292068481445,35.0880012512207,55.11000061035156,25.08724594116211,70.29000091552734,25.99773597717285,46.251426696777344,24.037113189697266,51.93220520019531,42.910377502441406,39.22418975830078,81.65106964111328,121.70549011230469,30.713773727416992,48.474151611328125,22.798452377319336,38.852970123291016,121.77801513671875,40.91891860961914,58.40205001831055,80.35499572753906,28.63736343383789,78.08241271972656,67.90862274169922,78.30899810791016,21.55626678466797,63.521419525146484,85.79808807373047,52.582923889160156,44.6677131652832,90.56275177001953,81.59455108642578,129.49624633789062,97.26676940917969,59.897789001464844,109.53007507324219,160.49000549316406,59.62875747680664,61.33698654174805,35.71699905395508,86.06940460205078,112.9509048461914,165.13827514648438,118.3488540649414,30.089702606201172,42.05396270751953,295.02374267578125,61.722503662109375,41.78214645385742,135.65853881835938,63.630001068115234,2.5199999809265137,80.49495697021484,69.62822723388672,83.62505340576172,78.27140808105469,68.77303314208984,57.8168830871582,174.7933349609375,85.07121276855469,24.745399475097656,998.25,123.21489715576172,32.64076614379883,82.78654479980469,63.06563949584961,19.519893646240234,106.69356536865234,76.78182983398438,41.22272491455078,36.60177993774414,82.91830444335938,162.55752563476562,38.91002655029297,73.48391723632812,59.4418830871582,65.81311798095703,35.86000061035156,163.33517456054688,29.23714828491211,129.40155029296875,66.18770599365234,60.65369415283203,30.81943702697754
