date,q1,med,q3
2019-01-22,0.5482891976637162,0.6940277645892868,0.794289611963216
2019-01-23,0.5303111111842481,0.6832142098909266,0.7853025612375496
2019-01-24,0.531285094960536,0.6854389094723021,0.7864188560866898
2019-01-25,0.5317698369540024,0.6821469090836206,0.7838346889772688
2019-01-26,0.5340563195720216,0.6877731625988647,0.7872812652755233
2019-01-27,0.5146589406299142,0.6698773882128348,0.7753256544956754
2019-01-28,0.5264982302531095,0.6837633956598501,0.7828482680450948
2019-01-29,0.5206431398650403,0.6842214848537725,0.7825246906431433
2019-01-30,0.5191075429522184,0.6860475576755816,0.7813155179290113
2019-01-31,0.519132644888341,0.6882138104754364,0.7843132997062843
2019-02-01,0.5178111101725216,0.6822532493250715,0.7802646061583165
2019-02-02,0.5236105144742453,0.6872209955849781,0.7821055079374553
2019-02-03,0.5203274128418027,0.6862184638210094,0.7818970413873745
2019-02-04,0.503491393516307,0.6707387597387827,0.7691482536003525
2019-02-05,0.5132185830211587,0.6788658646898077,0.7734785930786193
2019-02-06,0.5158996579661855,0.679807327582336,0.7730141369705404
2019-02-07,0.514523915184653,0.6773530735587516,0.7702959708272662
2019-02-08,0.5212792542645254,0.6838370140784483,0.7755523909890476
2019-02-09,0.5198553300064589,0.6829873632972869,0.7748000799601337
2019-02-10,0.5162775055257021,0.6769507923633062,0.7730963430161705
2019-02-11,0.5145361983416391,0.6763563522522539,0.7734037472146938
2019-02-12,0.5308926567118704,0.6780415254401272,0.7735849907609802
2019-02-13,0.5353043972186807,0.6793508257310287,0.7758776266511053
2019-02-14,0.5298994734216675,0.6797607541626344,0.776781364099264
2019-02-15,0.5067371275564811,0.6595900508238596,0.7580213509947086
2019-02-16,0.5021788694907029,0.6563133940655103,0.7557007421475075
2019-02-17,0.49928346513695215,0.6549624597324955,0.75579123420764
2019-02-18,0.4961514588787337,0.6424279194686396,0.7481162696196673
2019-02-19,0.4955444910310862,0.637262811839399,0.7449549972461098
2019-02-20,0.492870971982729,0.6348472646278792,0.7431823263773772
2019-02-21,0.5047954130790414,0.6397594080371787,0.7512083456229357
2019-02-22,0.5055460762812473,0.6445022301432435,0.7579770649804217
2019-02-23,0.477260307874176,0.6195558329239179,0.7416483575749907
2019-02-24,0.5113277518663528,0.6463791780216723,0.7645875792944433
2019-02-25,0.499537202857958,0.6347948621947972,0.7480588528472976
2019-02-26,0.474558945354583,0.6017572783133459,0.722437843228588
2019-02-27,0.47215875720040995,0.6032018978997785,0.7244910806087884
2019-02-28,0.47090153790605277,0.6066640822988285,0.727361802914251
2019-03-01,0.4609298216301157,0.5897654467984219,0.7191041167509753
2019-03-02,0.4581791255175569,0.5884323403560647,0.7163452386916367
2019-03-03,0.4499899094300657,0.5806238814956715,0.7148631541491135
2019-03-04,0.4433111639319354,0.5776016363282844,0.7122637937561668
2019-03-05,0.4509898284442357,0.5853548674912272,0.7167546224737001
2019-03-06,0.45214562607574604,0.587242862214047,0.7195928305357069
2019-03-07,0.449019615418665,0.5818686525992884,0.7140013612789002
2019-03-08,0.43773017402981995,0.579867794791149,0.7105744906640119
2019-03-09,0.4444927787750341,0.5878630558669773,0.7153537811554628
2019-03-10,0.43787418553280266,0.5783127475409638,0.7064464199238751
2019-03-11,0.3905302186842331,0.5273519235121961,0.6529207911238586
2019-03-12,0.38970804829852085,0.5253054666410484,0.6484639224140589
2019-03-13,0.39682791266668027,0.5297123206489788,0.6481131149649552
2019-03-14,0.3767387166189147,0.502338299452432,0.6228705513066866
2019-03-15,0.35820751303450854,0.48550869498682364,0.6085274400897441
2019-03-16,0.35689788947172624,0.4844018612777301,0.6009921476390584
2019-03-17,0.3594747980365105,0.4919316225161361,0.6083687035937058
2019-03-18,0.3605125636559757,0.49350725329050993,0.6113311167378465
2019-03-19,0.36635776940471776,0.49505695133807914,0.6083291426164961
2019-03-20,0.36197153839184426,0.49226754459954225,0.6043841696902164
2019-03-21,0.3592865846250624,0.48504084791078184,0.5963468081590064
2019-03-22,0.3598715062878961,0.484218705873128,0.5907723170039578
2019-03-23,0.3704860352191816,0.4900775636205407,0.5919819703174124
2019-03-24,0.3737981636129014,0.49281103096651296,0.5954003280206547
2019-03-25,0.37786646967093285,0.4924857262758525,0.5940207713712043
2019-03-26,0.371000391135371,0.4860912767371528,0.5940618871964901
2019-03-27,0.3749858350676061,0.49737921898779774,0.6027212204807549
2019-03-28,0.3687339291030426,0.49381850463664667,0.6005645471283174
2019-03-29,0.3399789882137336,0.46460616664773224,0.5727145402923246
2019-03-30,0.3403312298697137,0.46587099167416307,0.5724154425487816
2019-03-31,0.33234242940964254,0.4574385552384555,0.5652984412005774
2019-04-01,0.35784343844905636,0.48932866564401817,0.6068277220674166
2019-04-02,0.3448579954449811,0.4753639870706238,0.5919140988979825
2019-04-03,0.34260177754164456,0.47033668191914907,0.5909473238845944
2019-04-04,0.34157703568043496,0.4685072365114128,0.5898795296158241
2019-04-05,0.3357045770460718,0.46622989467354237,0.5888092498276551
2019-04-06,0.3321299402046084,0.46047444219139777,0.5823763323544724
2019-04-07,0.32387287641931567,0.44824222891209553,0.5709600681070556
2019-04-08,0.33126701682413606,0.45537008109071575,0.5774253946621987
2019-04-09,0.30201967646928796,0.42686955303532753,0.5516103642791509
2019-04-10,0.32929553228594816,0.4585711369591737,0.5797274102560903
2019-04-11,0.3323520633911963,0.45589379855308804,0.5807447513427103
2019-04-12,0.328587737003457,0.4551668856763014,0.5816149827202451
2019-04-13,0.3291626214660139,0.45337144879225755,0.5808584785723891
