Date,ABBC,ADA,ALGO,ANT,AR,ATOM,AVAX,BAT,BCD,BCH,BDX,BNB,BNT,BSV,BTC,BTG,BTS,CCXX,CEL,CELO,CKB,CTC,CVC,DASH,DCR,DFI,DGB,DOGE,DOT,EGLD,EOS,ETC,ETH,EWT,FUN,GLM,GNO,HBAR,HNT,ICX,IOST,IOTX,KNC,KSM,LINK,LRC,LRG,LSK,LTC,LUNA,MAID,MIOTA,MONA,MTC,MWC,NANO,NEO,NYE,OMG,ONT,QTUM,REP,RVN,SC,SNT,SOL,SRM,STORJ,STX,TFUEL,THETA,TOMO,TRX,USDC,USDT,VET,VGX,VITAE,WAVES,XEM,XLM,XMR,XRP,XTZ,XVG,XWC,ZEC,ZEN,ZIL,ZRX,BITW100
2017-01-11,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,777.757019,500.1260071,0.003466,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,11.30070019,0.698303998,0.170695007,0.000235,0.000205,2.900080204,17.66323471,1.006690025,1.176540017,9.717760086,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.140103996,3.846790075,1.042979956,0.082978003,0.590255022,0.024395,0.07959342,23.05592537,0.008675,0.115138002,5.077918053,0.582480013,2.839489937,6.190529823,3.778419971,0.028618,0.000257,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000010014,0.015307,0.126855001,0.163699001,0.201444998,0.003297,0.002089,11.63689995,0.006411,1.851830006,1.60E-05,0.00028,40.04850006,11.3348999,0.136039004,0.224399,929.77
2017-01-12,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,804.8339844,500.1260071,0.003761,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,12.22480011,0.836467028,0.170695007,0.000234,0.000208,2.900080204,17.66323471,1.006690025,1.215600014,9.861330032,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.138436005,3.962800026,1.042979956,0.088416003,0.590255022,0.024391999,0.07959342,23.05592537,0.008675,0.124122001,5.077918053,0.582480013,2.839489937,6.190529823,4.103809834,0.028618,0.000266,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000010014,0.015307,0.126855001,0.163699001,0.205409005,0.003489,0.002475,11.85270023,0.006423,1.851830006,1.60E-05,0.000282,42.80590057,11.3348999,0.136039004,0.224399,799.74
2017-01-13,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,823.9840088,500.1260071,0.003717,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,12.59399986,1.104140043,0.170695007,0.000247,0.000209,2.900080204,17.66323471,1.006690025,1.205659986,9.769499779,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.140260994,3.890870094,1.042979956,0.088218004,0.590255022,0.024618,0.07959342,23.05592537,0.008675,0.121321,5.077918053,0.582480013,2.839489937,6.190529823,4.323550224,0.028618,0.000284,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000010014,0.015307,0.126855001,0.163699001,0.218539998,0.003592,0.002398,11.26819992,0.006596,1.851830006,1.60E-05,0.000272,43.20650101,11.3348999,0.136039004,0.224399,828.02
2017-01-14,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,818.4119873,500.1260071,0.003852,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,12.07830048,1.045979977,0.170695007,0.000238,0.000209,2.900080204,17.66323471,1.006690025,1.203860044,9.646659851,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.147586003,3.9005301,1.042979956,0.100084998,0.590255022,0.024917999,0.07959342,23.05592537,0.008675,0.122938998,5.077918053,0.582480013,2.839489937,6.190529823,4.285150051,0.028618,0.000303,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000030041,0.015307,0.126855001,0.163699001,0.232360005,0.00372,0.002472,11.08710003,0.006863,1.851830006,1.60E-05,0.000287,43.63990021,11.3348999,0.136039004,0.224399,846.45
2017-01-15,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,821.7979736,500.1260071,0.00381,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,12.38689995,0.979475021,0.170695007,0.000278,0.000206,2.900080204,17.66323471,1.006690025,1.18738997,9.904259682,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.161147997,3.925839901,1.042979956,0.107642002,0.590255022,0.025490001,0.07959342,23.05592537,0.008675,0.123732001,5.077918053,0.582480013,2.839489937,6.190529823,4.116419792,0.028618,0.000351,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000020027,0.015307,0.126855001,0.163699001,0.237287,0.003667,0.002441,10.76210022,0.006726,1.851830006,1.70E-05,0.000279,45.14770126,11.3348999,0.136039004,0.224399,841.4
2017-01-16,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,831.5339966,500.1260071,0.003911,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,12.93560028,0.958127975,0.170695007,0.000266,0.000207,2.900080204,17.66323471,1.006690025,1.177790046,9.636500359,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.154283002,3.902539968,1.042979956,0.113422997,0.590255022,0.024866,0.07959342,23.05592537,0.008675,0.119649,5.077918053,0.582480013,2.839489937,6.190529823,4.004260063,0.028618,0.000357,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000010014,0.015307,0.126855001,0.163699001,0.235442996,0.003669,0.00238,10.63969994,0.006788,1.851830006,1.70E-05,0.000258,43.46039963,11.3348999,0.136039004,0.224399,844.95
2017-01-17,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,907.9379883,500.1260071,0.003911,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,14.24890041,0.884881973,0.170695007,0.000263,0.000215,2.900080204,17.66323471,1.006690025,1.212339997,10.30230045,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.157546997,3.939049959,1.042979956,0.117339,0.590255022,0.025731999,0.07959342,23.05592537,0.008675,0.116637997,5.077918053,0.582480013,2.839489937,6.190529823,4.33698988,0.028618,0.000371,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000010014,0.015307,0.126855001,0.163699001,0.244975999,0.003524,0.002545,12.38990021,0.0068,1.851830006,1.90E-05,0.000318,44.67520142,11.3348999,0.136039004,0.224399,853
2017-01-18,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,886.617981,500.1260071,0.003945,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,14.06410027,0.856783986,0.170695007,0.000273,0.000208,2.900080204,17.66323471,1.006690025,1.203590035,10.22780037,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.161744997,3.838200092,1.042979956,0.117403999,0.590255022,0.02492,0.07959342,23.05592537,0.008675,0.123034999,5.077918053,0.582480013,2.839489937,6.190529823,4.397399902,0.028618,0.000363,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000010014,0.015307,0.126855001,0.163699001,0.251702994,0.003552,0.002481,12.04839993,0.006709,1.851830006,1.80E-05,0.000274,43.91839981,11.3348999,0.136039004,0.224399,927.68
2017-01-19,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,899.072998,500.1260071,0.003878,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,15.17809963,1.036960006,0.170695007,0.000279,0.000211,2.900080204,17.66323471,1.006690025,1.170529962,10.39719963,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.156629995,3.860610008,1.042979956,0.120274,0.590255022,0.025498999,0.07959342,23.05592537,0.008675,0.116618998,5.077918053,0.582480013,2.839489937,6.190529823,4.490300179,0.028618,0.000368,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000010014,0.015307,0.126855001,0.163699001,0.235388994,0.003585,0.002349,12.1487999,0.007034,1.851830006,1.80E-05,0.000306,44.24919891,11.3348999,0.136039004,0.224399,907.89
2017-01-20,0.371425986,0.024969,0.339055002,1.524379969,0.543170989,6.526641846,4.896294117,0.171036005,69.30480194,413.0599976,0.069995999,0.105870001,19.98399925,68.75080109,895.026001,500.1260071,0.003882,20.31506729,0.218808994,1.981031179,0.007917,0.317521989,0.176719993,15.15929985,0.91306901,0.170695007,0.000269,0.000209,2.900080204,17.66323471,1.006690025,1.342190027,10.60060024,1.049478054,0.013975,0.111635983,74.83999634,0.086920999,0.277823001,0.497052014,0.026628001,0.030467,1.846570015,1.821637988,0.189164996,0.104809999,1.368379951,0.154868007,3.890010118,1.042979956,0.117510997,0.590255022,0.025153,0.07959342,23.05592537,0.008675,0.117808998,5.077918053,0.582480013,2.839489937,6.190529823,4.427470207,0.028618,0.00035,0.056150001,0.951053977,1.570352912,0.54847002,0.212996006,0.017193001,0.183236003,0.646902025,0.001988,1.002210021,1.000010014,0.015307,0.126855001,0.163699001,0.234780997,0.003545,0.002357,11.90939999,0.006675,1.851830006,1.80E-05,0.000295,43.65439987,11.3348999,0.136039004,0.224399,918.9
